Score,1,2,3,4,5,6,7,8,9,10
R2,0.8801771998405457,0.8956045508384705,0.8959486484527588,0.8937549591064453,0.9077352285385132,0.8978005647659302,0.8840911984443665,0.8915911316871643,0.9028841853141785,0.879144012928009
RMSE,0.8962971568107605,0.8367432355880737,0.8350015878677368,0.8399955034255981,0.7853513956069946,0.8260089159011841,0.8810667991638184,0.8495336174964905,0.8027632832527161,0.8980532884597778
Error,13.254207372665405%,12.886728346347809%,13.972221314907074%,12.244488298892975%,10.878247767686844%,11.970194429159164%,11.717461794614792%,11.977436393499374%,11.44590824842453%,13.468678295612335%
