Theories,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,Sp2s2a1nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp3a3nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1,SU6s2S2nf1,SU7a2A2nf1,Sp2adj1nf1,SU2adj1nf2,SO5adj1nf2,SU3adj1nf3,SU5adj1a2A2nf1,SU3adj1nf4,Sp2s1a1nf2,SU3nf6,SU3adj1nf2,SU6adj1s1A1F8nf1,SU4adj2a1A1nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU8s1S2a1f8nf1
SU2nf4,0.0,0.0,0.002499999999999991,0.004499999999999995,0.0,0.0011666666666666626,0.0,0.0,0.0,0.0,0.0,0.005580223014261075,0.0,0.002333333333333341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024452334585202025,0.0,0.01534419904864521,0.0,0.09401891062736026,0.019382122346808837,0.05315308081381548
SU9s2A2F16nf0,0.0,0.0,0.01761943371520335,0.002333333333333341,0.011110555541665974,0.0,0.0,0.0,0.0,0.0023333333333333405,0.0,0.0,0.0,0.003265986323710914,0.0,0.0,0.0,0.0,0.0,0.0023333333333333405,0.0,0.024736949421193127,0.0,0.0038188130791298675,0.0,0.03216968897718612,0.0374299345444258,0.028587584717845616
SU10s2A2F16nf1,0.002499999999999991,0.01761943371520335,0.0,0.004349329450233295,0.011695203195232552,0.00397562014729219,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.003337497399083463,0.005918426968188242,0.003337497399083463,0.006792561290771612,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.0027080128015453103,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.024450062485718845,0.002499999999999991,0.013479408163730507,0.002499999999999991,0.02675817632051931,0.02889107897681297,0.06686138231030259
SU5s1a1A2F8nf1,0.004499999999999995,0.002333333333333341,0.004349329450233295,0.0,0.01099999999999999,0.01891207727000569,0.01131493604832913,0.010873004286866737,0.01180983582537126,0.009470715096783594,0.01243762213787043,0.043180821360105384,0.01120639698267617,0.008610394235393008,0.011191514642799707,0.01120639698267617,0.011577036657874847,0.011290359702959976,0.0167240678198949,0.016228404453645814,0.01190354755711274,0.024506801776921727,0.011445523142259608,0.04076661215586434,0.010904891868637074,0.05056925943693461,0.04591538110723053,0.05686631496569633
SU4a3A3nf1,0.0,0.011110555541665974,0.011695203195232552,0.01099999999999999,0.0,0.012583057392117913,0.010787080750189604,0.011333333333333336,0.011677376037068907,0.01671326818229556,0.011691639938197057,0.015216949614017764,0.011557825631723872,0.014828650946356811,0.011445523142259599,0.011308796969124913,0.011445523142259599,0.013211947455070943,0.02617038190185402,0.01811690432226825,0.01335934961823449,0.04558995990834434,0.011880188924797822,0.028000496027352405,0.011533766851197303,0.07944966960283724,0.02440628334398063,0.07758883797156507
SU5s1a1A2F8nf0,0.0011666666666666626,0.0,0.00397562014729219,0.01891207727000569,0.012583057392117913,0.0,0.005312459150169738,0.004409585518440981,0.006508541396588882,0.011234866364235157,0.011819240434327609,0.03162321580386438,0.007418071028089304,0.02405144948276968,0.006009252125773315,0.00689000886953147,0.006904105059069334,0.01471582670309608,0.03172319515923815,0.07398967645707219,0.009539392014169468,0.024452334585202025,0.008166666666666673,0.03152644392675245,0.009510228411791414,0.05115227810719242,0.03754108860080291,0.04537620521815371
Sp2s2a1nf1,0.0,0.0,0.002499999999999991,0.01131493604832913,0.010787080750189604,0.005312459150169738,0.0,0.04273984609757554,0.041479914818298914,0.005333333333333335,0.01590684688358374,0.011809835825371259,0.02212590236703478,0.04728430559451576,0.023139672522411465,0.01711399687065792,0.014982397078646074,0.02178429607665934,0.01116044602852214,0.017260262647673327,0.014685593847940454,0.024452334585202025,0.037036393512927854,0.030112751082851552,0.1398639219622654,0.040069730886709655,0.03757363141589828,0.06545248488619647
Sp2s1a2nf0,0.0,0.0,0.002499999999999991,0.010873004286866737,0.011333333333333336,0.004409585518440981,0.04273984609757554,0.0,0.09410396142328736,0.006030017505041857,0.007264831572567806,0.011557825631723884,0.00750000000000001,0.060305702696990246,0.023513589451397855,0.020575740839909287,0.019773719933285173,0.02397973681627423,0.015794689684264836,0.03587942771747248,0.014557357818871748,0.024452334585202025,0.03656197174357228,0.031622776601683784,0.07372791571416863,0.03028796974231042,0.03132978703335781,0.07910190333431372
Sp2s1a2nf1,0.0,0.0,0.002499999999999991,0.01180983582537126,0.011677376037068907,0.006508541396588882,0.041479914818298914,0.09410396142328736,0.0,0.0060092521257733246,0.005270462766947303,0.015253414918196736,0.008434387285920004,0.054066831072499724,0.0158113883008419,0.028963578661637946,0.008326663997864544,0.02987241388155819,0.027988092706244434,0.024073960113690382,0.07075485849042452,0.024452334585202025,0.05838473925417307,0.04418050097799556,0.05667671479540782,0.036712471389918115,0.037730403302023346,0.08701851654804409
Sp3a3nf1,0.0,0.0023333333333333405,0.002499999999999991,0.009470715096783594,0.01671326818229556,0.011234866364235157,0.005333333333333335,0.006030017505041857,0.0060092521257733246,0.0,0.005325515102890153,0.019905331502444817,0.005333333333333335,0.024315061633115836,0.007000000000000013,0.008434387285920015,0.006155395104206478,0.02066666666666667,0.023213980461973524,0.08160286623506419,0.009860132971832698,0.027131879567934277,0.013743685418725544,0.02785079292707241,0.007257180352359096,0.07888123984826811,0.0991526600752597,0.04104739807696571
SU5s1S1a1A1nf1,0.0,0.0,0.003337497399083463,0.01243762213787043,0.011691639938197057,0.011819240434327609,0.01590684688358374,0.007264831572567806,0.005270462766947303,0.005325515102890153,0.0,0.017528548142958098,0.09440515522646702,0.02657536453183663,0.033584057064161996,0.01973153144926499,0.026706220665272395,0.030182776545573133,0.07555351304428759,0.017215141913766246,0.03432240926534408,0.024370405549901445,0.03551564600441771,0.04633812924819282,0.11677387930906846,0.03163199856685211,0.04964457002868827,0.08581132403904121
SU6s1a1A2F8nf1,0.005580223014261075,0.0,0.005918426968188242,0.043180821360105384,0.015216949614017764,0.03162321580386438,0.011809835825371259,0.011557825631723884,0.015253414918196736,0.019905331502444817,0.017528548142958098,0.0,0.010787080750189613,0.0183968596353955,0.014985177861992688,0.0128279209365959,0.016596519046006137,0.02086730563451938,0.03150352713938904,0.05845796210383435,0.02040152499746581,0.02684782217528184,0.016435902436096685,0.06393486268591392,0.02376037784959564,0.06654175798365683,0.0720572688907927,0.050479918999758934
SU6s2S2nf1,0.0,0.0,0.003337497399083463,0.01120639698267617,0.011557825631723872,0.007418071028089304,0.02212590236703478,0.00750000000000001,0.008434387285920004,0.005333333333333335,0.09440515522646702,0.010787080750189613,0.0,0.04918784854457902,0.09899494936611666,0.021749201773347392,0.07029698902987713,0.027860764925289147,0.02187400791401114,0.01745549897437608,0.029137604568666934,0.024822145130687017,0.11024669307209778,0.059072695328157614,0.06599663291074444,0.02964090641888898,0.03808470092365758,0.08972736483370053
SU7a2A2nf1,0.002333333333333341,0.003265986323710914,0.006792561290771612,0.008610394235393008,0.014828650946356811,0.02405144948276968,0.04728430559451576,0.060305702696990246,0.054066831072499724,0.024315061633115836,0.02657536453183663,0.0183968596353955,0.04918784854457902,0.0,0.04622529370136849,0.07293452162347022,0.04694589083899321,0.04862669591444144,0.03540401734894564,0.09087292715043843,0.05663626635528393,0.024349309823666242,0.06207097192372256,0.05302410353372847,0.06942722008613689,0.04359663595584718,0.0957834652861454,0.09799036233789071
Sp2adj1nf1,0.0,0.0,0.002499999999999991,0.011191514642799707,0.011445523142259599,0.006009252125773315,0.023139672522411465,0.023513589451397855,0.0158113883008419,0.007000000000000013,0.033584057064161996,0.014985177861992688,0.09899494936611666,0.04622529370136849,0.0,0.051163137771902394,0.06198678174507135,0.032413988749715246,0.02136261011934429,0.021985475003081265,0.028842965635777925,0.024610295948376302,0.08555521284202643,0.04055483256585392,0.08017775391105827,0.03797842955035282,0.03299831645537222,0.08342395073092353
SU2adj1nf2,0.0,0.0,0.002499999999999991,0.01120639698267617,0.011308796969124913,0.00689000886953147,0.01711399687065792,0.020575740839909287,0.028963578661637946,0.008434387285920015,0.01973153144926499,0.0128279209365959,0.021749201773347392,0.07293452162347022,0.051163137771902394,0.0,0.06257195857570706,0.07153883948985723,0.03932803636649615,0.03620504875781215,0.0876634980415959,0.023723523253419924,0.059240798629172975,0.025921355417235937,0.04659637563397202,0.044279415834749536,0.04882650691763417,0.0768767050398089
SO5adj1nf2,0.0,0.0,0.002499999999999991,0.011577036657874847,0.011445523142259599,0.006904105059069334,0.014982397078646074,0.019773719933285173,0.008326663997864544,0.006155395104206478,0.026706220665272395,0.016596519046006137,0.07029698902987713,0.04694589083899321,0.06198678174507135,0.06257195857570706,0.0,0.033411990529016854,0.03303575504072989,0.025510890920458957,0.0719492490888157,0.024452334585202025,0.05705479822065801,0.0358530953258494,0.06782104720840314,0.030681608678671195,0.0473004580668447,0.08209479615393145
SU3adj1nf3,0.0,0.0,0.0027080128015453103,0.011290359702959976,0.013211947455070943,0.01471582670309608,0.02178429607665934,0.02397973681627423,0.02987241388155819,0.02066666666666667,0.030182776545573133,0.02086730563451938,0.027860764925289147,0.04862669591444144,0.032413988749715246,0.07153883948985723,0.033411990529016854,0.0,0.07345898326428309,0.09672412085697939,0.042906875905849864,0.024790231050870744,0.0696541057256817,0.036295469567304284,0.035451061729908424,0.06923169633757198,0.09112201831732121,0.06097016574613449
SU5adj1a2A2nf1,0.0,0.0,0.002499999999999991,0.0167240678198949,0.02617038190185402,0.03172319515923815,0.01116044602852214,0.015794689684264836,0.027988092706244434,0.023213980461973524,0.07555351304428759,0.03150352713938904,0.02187400791401114,0.03540401734894564,0.02136261011934429,0.03932803636649615,0.03303575504072989,0.07345898326428309,0.0,0.08806578980133734,0.08809417309523561,0.0246018292002851,0.10077146862524575,0.041986770403174486,0.1082724187716644,0.04455614435742842,0.07167751855823878,0.06677075208003376
SU3adj1nf4,0.0,0.0023333333333333405,0.002499999999999991,0.016228404453645814,0.01811690432226825,0.07398967645707219,0.017260262647673327,0.03587942771747248,0.024073960113690382,0.08160286623506419,0.017215141913766246,0.05845796210383435,0.01745549897437608,0.09087292715043843,0.021985475003081265,0.03620504875781215,0.025510890920458957,0.09672412085697939,0.08806578980133734,0.0,0.10125819582741055,0.02537551313110076,0.04437967502760195,0.08521557630177973,0.03465063731977619,0.078780461480694,0.030928232338036314,0.08602325267042628
Sp2s1a1nf2,0.0,0.0,0.002499999999999991,0.01190354755711274,0.01335934961823449,0.009539392014169468,0.014685593847940454,0.014557357818871748,0.07075485849042452,0.009860132971832698,0.03432240926534408,0.02040152499746581,0.029137604568666934,0.05663626635528393,0.028842965635777925,0.0876634980415959,0.0719492490888157,0.042906875905849864,0.08809417309523561,0.10125819582741055,0.0,0.024506801776921727,0.08217680802865111,0.042426406871192854,0.043287154881994465,0.05732848816736367,0.1259850079264284,0.07907450776184306
SU3nf6,0.024452334585202025,0.024736949421193127,0.024450062485718845,0.024506801776921727,0.04558995990834434,0.024452334585202025,0.024452334585202025,0.024452334585202025,0.024452334585202025,0.027131879567934277,0.024370405549901445,0.02684782217528184,0.024822145130687017,0.024349309823666242,0.024610295948376302,0.023723523253419924,0.024452334585202025,0.024790231050870744,0.0246018292002851,0.02537551313110076,0.024506801776921727,0.0,0.025119713374160944,0.03870687564531944,0.024452334585202025,0.0683050754580751,0.027670682439482164,0.07777621030166541
SU3adj1nf2,0.0,0.0,0.002499999999999991,0.011445523142259608,0.011880188924797822,0.008166666666666673,0.037036393512927854,0.03656197174357228,0.05838473925417307,0.013743685418725544,0.03551564600441771,0.016435902436096685,0.11024669307209778,0.06207097192372256,0.08555521284202643,0.059240798629172975,0.05705479822065801,0.0696541057256817,0.10077146862524575,0.04437967502760195,0.08217680802865111,0.025119713374160944,0.0,0.030425227105881143,0.058247794426532204,0.03137762826530323,0.07461475129698625,0.07474029108259556
SU6adj1s1A1F8nf1,0.01534419904864521,0.0038188130791298675,0.013479408163730507,0.04076661215586434,0.028000496027352405,0.03152644392675245,0.030112751082851552,0.031622776601683784,0.04418050097799556,0.02785079292707241,0.04633812924819282,0.06393486268591392,0.059072695328157614,0.05302410353372847,0.04055483256585392,0.025921355417235937,0.0358530953258494,0.036295469567304284,0.041986770403174486,0.08521557630177973,0.042426406871192854,0.03870687564531944,0.030425227105881143,0.0,0.08615618891808578,0.039203528752736874,0.06180817098086627,0.048131763593978846
SU4adj2a1A1nf1,0.0,0.0,0.002499999999999991,0.010904891868637074,0.011533766851197303,0.009510228411791414,0.1398639219622654,0.07372791571416863,0.05667671479540782,0.007257180352359096,0.11677387930906846,0.02376037784959564,0.06599663291074444,0.06942722008613689,0.08017775391105827,0.04659637563397202,0.06782104720840314,0.035451061729908424,0.1082724187716644,0.03465063731977619,0.043287154881994465,0.024452334585202025,0.058247794426532204,0.08615618891808578,0.0,0.04122061242738745,0.07113680091516938,0.09963600420196173
Sp2adj1a2nf4,0.09401891062736026,0.03216968897718612,0.02675817632051931,0.05056925943693461,0.07944966960283724,0.05115227810719242,0.040069730886709655,0.03028796974231042,0.036712471389918115,0.07888123984826811,0.03163199856685211,0.06654175798365683,0.02964090641888898,0.04359663595584718,0.03797842955035282,0.044279415834749536,0.030681608678671195,0.06923169633757198,0.04455614435742842,0.078780461480694,0.05732848816736367,0.0683050754580751,0.03137762826530323,0.039203528752736874,0.04122061242738745,0.0,0.05665416528768598,0.08930301102302081
SU5adj1s1A1F8nf0,0.019382122346808837,0.0374299345444258,0.02889107897681297,0.04591538110723053,0.02440628334398063,0.03754108860080291,0.03757363141589828,0.03132978703335781,0.037730403302023346,0.0991526600752597,0.04964457002868827,0.0720572688907927,0.03808470092365758,0.0957834652861454,0.03299831645537222,0.04882650691763417,0.0473004580668447,0.09112201831732121,0.07167751855823878,0.030928232338036314,0.1259850079264284,0.027670682439482164,0.07461475129698625,0.06180817098086627,0.07113680091516938,0.05665416528768598,0.0,0.0810536516416407
SU8s1S2a1f8nf1,0.05315308081381548,0.028587584717845616,0.06686138231030259,0.05686631496569633,0.07758883797156507,0.04537620521815371,0.06545248488619647,0.07910190333431372,0.08701851654804409,0.04104739807696571,0.08581132403904121,0.050479918999758934,0.08972736483370053,0.09799036233789071,0.08342395073092353,0.0768767050398089,0.08209479615393145,0.06097016574613449,0.06677075208003376,0.08602325267042628,0.07907450776184306,0.07777621030166541,0.07474029108259556,0.048131763593978846,0.09963600420196173,0.08930301102302081,0.0810536516416407,0.0
