Charge,Minimal gap,Maximal gap,Mean gap,Stdev gap,Median gap,1st quartile gap,3rd quartile gap,Sum of absolute values of coefficients,Log of Sum of absolute values of coefficients,Mean dimension,Stdev dimension,Minimal dimension,Maximal dimension,Median dimension,1st quartile dimension,3rd quartile dimension
a,1.469681311883211e-05,4.5568679572869116e-05,2.463988276297974e-05,3.3988369296723057e-07,1.871438970590142e-05,1.9590140197923773e-05,0.0001647682725203698,0.49789501377196654,0.061090727828527126,0.010577826647958597,0.0005145906397130112,0.0016563251507920047,0.007838521270544132,0.012011712696770867,0.01622251948161243,0.011367737667567579
c,0.00024137192368905966,3.8612821762971095e-05,9.069478960436874e-07,2.991367947214761e-06,7.003218908855975e-05,3.62609101743618e-05,3.4719499567567897e-06,0.3875747312046102,0.05675749621014499,0.01338351014164055,4.799715114692956e-05,0.0023854877154006874,0.004679362740301814,0.014604148524459662,0.01761151006993815,0.009579487350604016
a - c,-0.00022667511057022756,6.955857809898021e-06,2.373293486693605e-05,-2.6514842542475308e-06,-5.131779938265833e-05,-1.6670769976438025e-05,0.000161296322563613,0.11032028256735632,0.004333231618382137,-0.0028056834936819527,0.00046659348856608164,-0.0007291625646086827,0.0031591585302423175,-0.002592435827688795,-0.0013889905883257177,0.001788250316963563
