Score,1,2,3,4,5,6,7,8,9,10
R2,0.841879750958139,0.7812760910590176,0.803516811716444,0.8296439517469537,0.8012442662899869,0.8348467439748287,0.8312000073464105,0.8259435043083241,0.8223230932985802,0.8068380630079507
RMSE,1.0300361433047758,1.2131603017282422,1.153001334287456,1.0733676302345667,1.1605317536699196,1.0586159292346828,1.06719129641278,1.0855681466962115,1.0967263273267027,1.1419907175308026
Error,21.56730921285404%,25.66391769635426%,24.19605202161878%,24.111845952087023%,26.406188215912184%,24.232547121794703%,22.876950580155476%,23.780585901818014%,22.469552270596594%,25.156282131517383%
