Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5,SU5adj1a2A2nf1,SU3nf5,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU2nf5,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,Sp5a3nf1,SU3adj2nf1,SU4s1S1a2A2nf1,SU4adj1a2A2nf1
SU2nf4,0.0,1.0,0.9919444444444446,0.9691666666666667,1.0,0.9983333333333334,1.0,0.8719444444444444,0.9925,1.0,0.9991666666666668,0.8961111111111113,0.6930555555555554,0.9755555555555555,1.0,1.0,0.9977777777777779,0.9977777777777779,1.0,1.0,1.0,1.0,1.0,1.0,0.9975,1.0,1.0,0.9600000000000001,0.9961111111111113,0.9180555555555558,0.9997222222222223,0.9302777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619444444444444,0.9975000000000002,1.0,1.0,0.9986111111111112
SU2adj1nf2,1.0,0.0,0.9977777777777779,0.9419444444444446,0.8838888888888888,0.9975,0.9380555555555555,0.8911111111111111,0.9958333333333333,0.9855555555555556,0.9822222222222223,0.9255555555555558,0.7477777777777778,0.9908333333333333,0.9974999999999999,0.9380555555555555,0.9941666666666668,0.9477777777777777,0.9172222222222223,0.8997222222222222,0.9666666666666667,0.995,0.9858333333333335,0.958611111111111,0.9941666666666668,0.9536111111111111,0.9747222222222223,0.988611111111111,0.9308333333333334,0.9927777777777779,0.9925,0.89,0.9686111111111111,0.9058333333333334,1.0,0.9713888888888889,0.991388888888889,0.9869444444444445,0.8361111111111109,0.9638888888888888,0.9991666666666668,0.9352777777777778,0.993611111111111,0.9636111111111109,0.9686111111111111,0.9880555555555558
SU6s1a1A2F8nf1,0.9919444444444446,0.9977777777777779,0.0,0.6502777777777777,0.9975000000000002,0.9025,0.9958333333333333,0.8819444444444444,0.8038888888888889,0.9911111111111112,0.9227777777777778,0.6988888888888888,0.6688888888888889,0.8044444444444444,0.9736111111111111,0.9980555555555557,0.9033333333333335,0.9736111111111112,0.9994444444444445,0.9925000000000002,0.9949999999999999,0.9955555555555555,0.9938888888888889,0.9966666666666667,0.9316666666666668,0.9916666666666667,0.9977777777777779,0.9655555555555557,0.9438888888888889,0.9730555555555556,0.9361111111111112,0.8211111111111111,0.9805555555555557,0.9919444444444445,0.9477777777777777,0.9897222222222222,0.9091666666666668,0.9908333333333333,0.9972222222222222,0.9902777777777777,0.9166666666666669,0.8205555555555555,0.8675000000000002,0.9977777777777779,0.9855555555555555,0.9583333333333331
SU6adj1s1A1F8nf1,0.9691666666666667,0.9419444444444446,0.6502777777777777,0.0,0.9172222222222224,0.8602777777777778,0.9025,0.8558333333333333,0.8236111111111112,0.8491666666666667,0.8480555555555556,0.6311111111111111,0.6502777777777778,0.7375,0.7663888888888889,0.9233333333333335,0.853888888888889,0.8649999999999999,0.9366666666666668,0.9302777777777779,0.9055555555555556,0.8886111111111112,0.8972222222222223,0.928888888888889,0.8541666666666664,0.9033333333333334,0.9308333333333334,0.9513888888888888,0.8588888888888888,0.9472222222222222,0.8500000000000001,0.7930555555555556,0.9030555555555555,0.8927777777777776,0.9136111111111112,0.9055555555555554,0.7880555555555555,0.8805555555555558,0.9175000000000003,0.9124999999999999,0.8319444444444443,0.6944444444444445,0.8413888888888887,0.9238888888888891,0.8766666666666666,0.8591666666666666
SU3adj1nf2,1.0,0.8838888888888888,0.9975000000000002,0.9172222222222224,0.0,0.9908333333333333,0.7458333333333333,0.888611111111111,0.9916666666666667,0.9763888888888889,0.9808333333333333,0.9194444444444442,0.731388888888889,0.9758333333333334,0.9986111111111112,0.6952777777777778,0.9891666666666669,0.8722222222222222,0.9219444444444445,0.7966666666666667,0.7961111111111112,0.9802777777777779,0.928888888888889,0.9230555555555554,0.9925,0.8486111111111111,0.9333333333333332,0.9925,0.9238888888888889,0.9930555555555556,0.9908333333333333,0.8661111111111112,0.9058333333333335,0.8386111111111111,1.0,0.8419444444444443,0.9883333333333335,0.9441666666666666,0.9336111111111111,0.8705555555555555,0.9897222222222223,0.9286111111111112,0.9716666666666668,0.8491666666666667,0.8663888888888888,0.9627777777777778
SU5s1a1A2F8nf0,0.9983333333333334,0.9975,0.9025,0.8602777777777778,0.9908333333333333,0.0,0.9922222222222222,0.8963888888888889,0.9438888888888889,0.9819444444444445,0.9716666666666668,0.798888888888889,0.7505555555555554,0.826111111111111,0.9991666666666668,0.9963888888888889,0.8925000000000001,0.9841666666666669,0.9994444444444445,0.9894444444444446,0.9891666666666669,0.9833333333333335,0.9744444444444444,0.9916666666666667,0.9736111111111111,0.9838888888888891,0.9955555555555555,0.985,0.7758333333333334,0.9905555555555557,0.9791666666666667,0.8383333333333335,0.951111111111111,0.9897222222222222,0.9961111111111111,0.9719444444444444,0.7424999999999998,0.9986111111111112,0.9952777777777778,0.9747222222222224,0.8552777777777777,0.8644444444444442,0.6652777777777777,0.9916666666666667,0.7933333333333332,0.9399999999999998
SU3adj1nf3,1.0,0.9380555555555555,0.9958333333333333,0.9025,0.7458333333333333,0.9922222222222222,0.0,0.8894444444444445,0.9908333333333332,0.9813888888888889,0.9844444444444445,0.8872222222222224,0.7383333333333334,0.9627777777777777,0.9997222222222223,0.8641666666666665,0.9883333333333334,0.7936111111111112,0.958888888888889,0.9033333333333332,0.6222222222222222,0.9833333333333335,0.9016666666666667,0.9580555555555553,0.9869444444444446,0.6666666666666667,0.958888888888889,0.9941666666666666,0.9205555555555557,0.9936111111111111,0.9836111111111113,0.8627777777777778,0.9094444444444444,0.795277777777778,0.9997222222222223,0.8394444444444443,0.9877777777777779,0.9441666666666666,0.8974999999999997,0.9016666666666667,0.9883333333333334,0.9230555555555553,0.9369444444444445,0.9202777777777779,0.8069444444444442,0.8944444444444445
SU3nf6,0.8719444444444444,0.8911111111111111,0.8819444444444444,0.8558333333333333,0.888611111111111,0.8963888888888889,0.8894444444444445,0.0,0.8938888888888888,0.8947222222222222,0.8961111111111111,0.7944444444444445,0.5936111111111111,0.8788888888888889,0.8883333333333334,0.888611111111111,0.9005555555555556,0.8802777777777777,0.8908333333333333,0.8944444444444444,0.8905555555555555,0.8908333333333333,0.8947222222222222,0.8905555555555555,0.8452777777777776,0.8911111111111111,0.8913888888888888,0.7808333333333333,0.8905555555555554,0.8302777777777778,0.886111111111111,0.9272222222222223,0.8922222222222221,0.8905555555555555,0.8880555555555556,0.8908333333333333,0.8863888888888887,0.8958333333333333,0.8880555555555555,0.8883333333333333,0.8833333333333333,0.8936111111111111,0.8969444444444445,0.8916666666666667,0.8880555555555555,0.8930555555555555
SU5s1a1A2F8nf1,0.9925,0.9958333333333333,0.8038888888888889,0.8236111111111112,0.9916666666666667,0.9438888888888889,0.9908333333333332,0.8938888888888888,0.0,0.9841666666666666,0.9427777777777777,0.7274999999999998,0.6822222222222223,0.8041666666666667,0.9813888888888888,0.993888888888889,0.9325,0.9816666666666669,0.9952777777777778,0.9880555555555557,0.9911111111111113,0.9811111111111112,0.9822222222222223,0.992777777777778,0.9794444444444445,0.985,0.9936111111111112,0.9738888888888889,0.9541666666666667,0.9905555555555557,0.9783333333333333,0.8524999999999999,0.9855555555555557,0.985277777777778,0.99,0.9883333333333335,0.9416666666666665,0.9838888888888889,0.995,0.9858333333333335,0.9455555555555555,0.8444444444444442,0.9633333333333334,0.9902777777777778,0.9858333333333335,0.9619444444444444
SU6s2S2nf1,1.0,0.9855555555555556,0.9911111111111112,0.8491666666666667,0.9763888888888889,0.9819444444444445,0.9813888888888889,0.8947222222222222,0.9841666666666666,0.0,0.9872222222222222,0.7083333333333334,0.7416666666666667,0.8555555555555556,1.0,0.9783333333333333,0.7966666666666669,0.976388888888889,0.9855555555555555,0.9736111111111111,0.9730555555555556,0.6086111111111111,0.9338888888888889,0.9630555555555554,0.986388888888889,0.9599999999999997,0.9794444444444445,0.9747222222222223,0.5833333333333335,0.9947222222222223,0.9922222222222223,0.8430555555555556,0.9019444444444443,0.9741666666666667,1.0,0.9361111111111112,0.9922222222222224,0.586388888888889,0.9866666666666667,0.9491666666666667,0.9569444444444444,0.8272222222222221,0.6836111111111111,0.9258333333333333,0.8058333333333333,0.9386111111111112
