Charge,Minimal gap,Maximal gap,Mean gap,Stdev gap,Median gap,1st quartile gap,3rd quartile gap,Sum of absolute values of coefficients,Log of Sum of absolute values of coefficients,Mean dimension,Stdev dimension,Minimal dimension,Maximal dimension,Median dimension,1st quartile dimension,3rd quartile dimension
a,6.8470607105207745e-06,0.002270781691354427,9.173079705287956e-06,2.911606286158994e-06,6.565291322794106e-06,6.687786381863789e-06,0.0004941936525540652,0.7910211759976976,0.20295060909375023,0.02332555039861507,1.3421029330671986e-05,0.005383139706798158,0.012775277202893318,0.0202405217720644,0.0334653444119578,0.021300369008370776
c,1.611357543348883e-05,0.0004961646006916811,9.992497968978688e-06,4.412305042559665e-06,1.4330770652462445e-05,2.9431954824027647e-05,1.3945147051791176e-05,0.918475597663495,0.1610651634699198,0.017845093972192402,0.0001473935237898093,0.007129554781091602,0.008655791260896098,0.01621016719834426,0.029443246490414562,0.015753620415792587
a - c,-9.266514722968054e-06,0.001774617090662746,-8.194182636907317e-07,-1.5006987564006707e-06,-7.765479329668338e-06,-2.2744168442163857e-05,0.00048024850550227406,-0.12745442166579735,0.041885445623830425,0.005480456426422666,-0.00013397249445913731,-0.001746415074293444,0.004119485941997221,0.004030354573720141,0.00402209792154324,0.0055467485925781886
