Score,1,2,3,4,5,6,7,8,9,10
R2,0.9520528316497803,0.9699602127075195,0.9744250774383545,0.9673689007759094,0.9578781723976135,0.9667332768440247,0.9599100947380066,0.9682499766349792,0.9733144640922546,0.9584134817123413
RMSE,0.15828335285186768,0.1251031458377838,0.11583693325519562,0.12944883108139038,0.14796634018421173,0.1319616138935089,0.14460495114326477,0.12908028066158295,0.1178964301943779,0.14769840240478516
Error,4.995117336511612%,4.4610437005758286%,4.256651550531387%,4.740896821022034%,4.538045451045036%,4.170029982924461%,4.744448885321617%,4.582146182656288%,4.394656792283058%,4.878273233771324%
