Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,0.0,0.0,0.008629728977333074,0.03019795798835853,0.003666666666666668,0.0,0.0,0.004284986710727473,0.008969082698049146,0.0
SU2adj1nf2,0.0,0.0,0.06543890280253789,0.08584692449030686,0.030805843601498725,0.1276949489995591,0.09684021777018977,0.026583725179975138,0.04249052181892386,0.022791323885295568,0.07510437182126395
SU3adj1nf2,0.0,0.06543890280253789,0.0,0.08418630134014281,0.03034111621765642,0.09930438616250097,0.07042805627809921,0.040146952285046215,0.0352593565202518,0.023499999999999997,0.08996619735582173
SU3adj1nf3,0.008629728977333074,0.08584692449030686,0.08418630134014281,0.0,0.030298973213258862,0.07744173436992628,0.04397000240062662,0.05857307876111307,0.05175905717843014,0.026423894910141885,0.10364536222673504
SU3nf6,0.03019795798835853,0.030805843601498725,0.03034111621765642,0.030298973213258862,0.0,0.02967602848540665,0.029970355723985365,0.033124344857252984,0.05589200896967889,0.04237268512195616,0.03411947961046429
SU3adj1nf4,0.003666666666666668,0.1276949489995591,0.09930438616250097,0.07744173436992628,0.02967602848540665,0.0,0.09362291386193873,0.06150880695748645,0.047188746304365606,0.023819343213260746,0.11347246362003427
SU5adj1nf2,0.0,0.09684021777018977,0.07042805627809921,0.04397000240062662,0.029970355723985365,0.09362291386193873,0.0,0.038472212194142284,0.027760883751542696,0.022353846300904107,0.09897656849533182
SU5adj1nf4,0.0,0.026583725179975138,0.040146952285046215,0.05857307876111307,0.033124344857252984,0.06150880695748645,0.038472212194142284,0.0,0.047133380480881656,0.025234456161720178,0.025586997566038196
SU3nf5,0.004284986710727473,0.04249052181892386,0.0352593565202518,0.05175905717843014,0.05589200896967889,0.047188746304365606,0.027760883751542696,0.047133380480881656,0.0,0.027686739706140124,0.041633653588306556
SU2nf5,0.008969082698049146,0.022791323885295568,0.023499999999999997,0.026423894910141885,0.04237268512195616,0.023819343213260746,0.022353846300904107,0.025234456161720178,0.027686739706140124,0.0,0.023168465158006853
SO5nf5,0.0,0.07510437182126395,0.08996619735582173,0.10364536222673504,0.03411947961046429,0.11347246362003427,0.09897656849533182,0.025586997566038196,0.041633653588306556,0.023168465158006853,0.0
