Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,1.0,1.0,0.9978333333333333,0.8768333333333334,0.9993333333333334,1.0,1.0,0.9971666666666669,0.9913333333333334,1.0
SU2adj1nf2,1.0,0.0,0.6638333333333334,0.6368333333333334,0.8740000000000001,0.7796666666666667,0.6298333333333335,0.9328333333333334,0.983,0.9383333333333332,0.7573333333333333
SU3adj1nf2,1.0,0.6638333333333334,0.0,0.6306666666666667,0.8745,0.8118333333333332,0.6759999999999999,0.9376666666666666,0.9896666666666667,0.9355,0.8188333333333334
SU3adj1nf3,0.9978333333333333,0.6368333333333334,0.6306666666666667,0.0,0.8751666666666668,0.6616666666666667,0.5571666666666666,0.8785,0.9723333333333334,0.943,0.8441666666666666
SU3nf6,0.8768333333333334,0.8740000000000001,0.8745,0.8751666666666668,0.0,0.8726666666666668,0.8763333333333335,0.8583333333333333,0.9445000000000001,0.968,0.8631666666666666
SU3adj1nf4,0.9993333333333334,0.7796666666666667,0.8118333333333332,0.6616666666666667,0.8726666666666668,0.0,0.6835000000000001,0.6716666666666665,0.9740000000000001,0.9358333333333333,0.8263333333333333
SU5adj1nf2,1.0,0.6298333333333335,0.6759999999999999,0.5571666666666666,0.8763333333333335,0.6835000000000001,0.0,0.9089999999999998,0.9943333333333334,0.9365000000000001,0.8151666666666668
SU5adj1nf4,1.0,0.9328333333333334,0.9376666666666666,0.8785,0.8583333333333333,0.6716666666666665,0.9089999999999998,0.0,0.9636666666666666,0.9376666666666668,0.9265000000000001
SU3nf5,0.9971666666666669,0.983,0.9896666666666667,0.9723333333333334,0.9445000000000001,0.9740000000000001,0.9943333333333334,0.9636666666666666,0.0,0.883,0.9011666666666668
SU2nf5,0.9913333333333334,0.9383333333333332,0.9355,0.943,0.968,0.9358333333333333,0.9365000000000001,0.9376666666666668,0.883,0.0,0.9623333333333334
SO5nf5,1.0,0.7573333333333333,0.8188333333333334,0.8441666666666666,0.8631666666666666,0.8263333333333333,0.8151666666666668,0.9265000000000001,0.9011666666666668,0.9623333333333334,0.0
