Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU3adj1nf3
SU2nf4,0.0,0.003337497399083463,0.0030046260628866584,0.004787135538781693,0.004179978734661485,0.0037267799624996455,0.05063924696649165,0.0031797973380564845,0.004500000000000006,0.0016329931618554463,0.0016329931618554463,0.0055000000000000005,0.003887301263230187,0.003179797338056485,0.001632993161855446,0.002260776661041748,0.0,0.0011666666666666624,0.008801830617673943,0.002499999999999991,0.002587362449376675,0.0011666666666666624,0.0023333333333333405,0.0011666666666666624,0.0011666666666666624,0.004775516260631462,0.01062491830033949,0.002499999999999991,0.010456258094238755
SU2adj1nf2,0.003337497399083463,0.0,0.03574601764921202,0.05309216305423784,0.04422825894028487,0.028785123472608774,0.027928977385106277,0.020976839079751213,0.04172695638180299,0.0016329931618554463,0.04243589937253075,0.04844125881472895,0.046785562825394,0.0,0.03214377423735772,0.02366960075708925,0.003179797338056485,0.04344089215371976,0.061897092015699734,0.07214587845315751,0.0030046260628866584,0.04292402849479791,0.0016329931618554463,0.057823726387472935,0.042302153872140154,0.04213206749153323,0.04576510072581994,0.037721567659187584,0.04794788837894741
SU6s1a1A2F8nf1,0.0030046260628866584,0.03574601764921202,0.0,0.038478348890425805,0.04314735732862958,0.0655195051534698,0.07646059260967196,0.12322844639124522,0.03408975082207424,0.0016329931618554463,0.03576971096084259,0.08700638546170683,0.05715573267641468,0.0,0.03476108935769036,0.023828670872618047,0.0011666666666666624,0.030659872435771438,0.033225241408704115,0.052816243292717786,0.0011666666666666624,0.047635479307852974,0.0011666666666666624,0.05204938893866948,0.05850569772822701,0.05254733315994469,0.039024209010419274,0.0345108678534748,0.050443587853715915
SU6adj1s1A1F8nf1,0.004787135538781693,0.05309216305423784,0.038478348890425805,0.0,0.04662170453054385,0.03275371056163797,0.04046397574798272,0.0846765086143206,0.04744851010422889,0.032863776073022676,0.03947889731658336,0.04679179652697919,0.05009685064397206,0.0,0.05955599605973077,0.02420973174388992,0.0016329931618554463,0.07787097590815777,0.08099056872390897,0.04964904609131759,0.002808716591058789,0.0708380390593767,0.002808716591058789,0.07206401475231741,0.05532730890899277,0.04693494315420962,0.085,0.03804273912325452,0.10173781663340989
SU3adj1nf2,0.004179978734661485,0.04422825894028487,0.04314735732862958,0.04662170453054385,0.0,0.0500932463844512,0.035833333333333335,0.027204983203654266,0.05535867893414124,0.0016329931618554463,0.04144742318756245,0.05462218718921216,0.055558027722773295,0.0,0.04175856532231176,0.023783747952470964,0.0,0.032634763332645415,0.07979644241582591,0.07071932000678614,0.0,0.044871421243865735,0.0,0.06494206820099144,0.052341029158140685,0.06440669392401865,0.04336825515922395,0.053198788624470694,0.04524746770078225
SU5s1a1A2F8nf0,0.0037267799624996455,0.028785123472608774,0.0655195051534698,0.03275371056163797,0.0500932463844512,0.0,0.09473647660748208,0.031538776838115394,0.03184162195757132,0.0016329931618554463,0.03320349713843743,0.10732983948764874,0.08389825186895535,0.0011666666666666626,0.023676641090605164,0.0241522945769824,0.0,0.019692779274535,0.06147628268961399,0.07523463298242374,0.0,0.08935400880144599,0.0,0.05077975318306828,0.14298222500250396,0.11986902574615903,0.03983437934470397,0.029133790995642467,0.0959816243987474
SU3nf6,0.05063924696649165,0.027928977385106277,0.07646059260967196,0.04046397574798272,0.035833333333333335,0.09473647660748208,0.0,0.06483933134208655,0.032797357617141455,0.0027080128015453103,0.046584749531245626,0.07051890999346676,0.0660473315130899,0.002499999999999991,0.027071920672329264,0.02400289334411352,0.0032015621187164132,0.023082581215183782,0.03467467856135559,0.03938732170522783,0.004876246279442598,0.059804310509824925,0.004725815626252611,0.07396038729542247,0.05749975845359893,0.04886517733064678,0.033798832984455414,0.030168047850517462,0.03782268572636739
SU5s1a1A2F8nf1,0.0031797973380564845,0.020976839079751213,0.12322844639124522,0.0846765086143206,0.027204983203654266,0.031538776838115394,0.06483933134208655,0.0,0.019723082923316024,0.0016329931618554463,0.09245779818081568,0.08416666666666667,0.06349890637728427,0.0,0.022058004342087597,0.024037008503093264,0.0016329931618554463,0.022173557826083445,0.022040997154293078,0.08176796438703854,0.0016329931618554463,0.037039393443557715,0.0016329931618554463,0.06229967897188557,0.018681541692269387,0.02588918693199923,0.021253104348410944,0.06060459278525569,0.057393379409126984
SU6s2S2nf1,0.004500000000000006,0.04172695638180299,0.03408975082207424,0.04744851010422889,0.05535867893414124,0.03184162195757132,0.032797357617141455,0.019723082923316024,0.0,0.033010520208631135,0.04580635569680502,0.04432362048990734,0.05505073417615186,0.0086986589004666,0.05385809544018841,0.02380534487136123,0.002499999999999991,0.05257507859137149,0.05771313156947521,0.058623326794412164,0.002808716591058789,0.04972842915945231,0.0030046260628866584,0.04561188928825953,0.05263316444980293,0.05064610328325148,0.05238320341483518,0.04282522621072772,0.0543724296965945
SU10s2A2F16nf1,0.0016329931618554463,0.0016329931618554463,0.0016329931618554463,0.032863776073022676,0.0016329931618554463,0.0016329931618554463,0.0027080128015453103,0.0016329931618554463,0.033010520208631135,0.0,0.02923135683170082,0.02857738033247041,0.01958528359083251,0.016069294390925262,0.0016329931618554463,0.026308004696500856,0.0,0.0016329931618554463,0.00745542308211502,0.005066228051190219,0.0,0.0016329931618554463,0.0,0.0016329931618554463,0.0016329931618554463,0.0016329931618554463,0.0016329931618554463,0.004969350505291859,0.0052068331172711
