Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,Sp2nf5,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,0.0011666666666666626,0.0,0.0,0.02282116464064785,0.004082482904638632,0.0,0.004179978734661485,0.011500000000000002,0.03158937936852968,0.0,0.0
SU2adj1nf2,0.0011666666666666626,0.0,0.05219514664538584,0.027690752567920175,0.029118531709014604,0.04313286965232483,0.013375973484822199,0.006922186552431733,0.008348319857578805,0.018877529263945293,0.0016329931618554463,0.05183333333333333
SU3adj1nf2,0.0,0.05219514664538584,0.0,0.052913976309561996,0.03415202938495912,0.04180510335672748,0.04085067658898414,0.0069221865524317396,0.00777460252646041,0.023999999999999997,0.0,0.07871467461661771
SU3adj1nf3,0.0,0.027690752567920175,0.052913976309561996,0.0,0.03361381990921128,0.05378687365684846,0.05430469592954187,0.009153020145164002,0.00777460252646041,0.025873624493766706,0.0011666666666666624,0.06013618803275703
SU3nf6,0.02282116464064785,0.029118531709014604,0.03415202938495912,0.03361381990921128,0.0,0.030743111242827862,0.034432300726691685,0.03548121568755313,0.1256097351145824,0.09204784383979647,0.037267799624996496,0.03487318294748687
SU3adj1nf4,0.004082482904638632,0.04313286965232483,0.04180510335672748,0.05378687365684846,0.030743111242827862,0.0,0.05845796210383435,0.07058800653557704,0.01108677891304173,0.028196236943567092,0.007023769168568506,0.06563281699475247
SU5adj1nf2,0.0,0.013375973484822199,0.04085067658898414,0.05430469592954187,0.034432300726691685,0.05845796210383435,0.0,0.010960788698304934,0.010960788698304929,0.020344259359556166,0.0,0.08352378237497522
SU5adj1nf4,0.004179978734661485,0.006922186552431733,0.0069221865524317396,0.009153020145164002,0.03548121568755313,0.07058800653557704,0.010960788698304934,0.0,0.014659088951530671,0.03299831645537222,0.020822663934601,0.03823501885270448
Sp2nf5,0.011500000000000002,0.008348319857578805,0.00777460252646041,0.00777460252646041,0.1256097351145824,0.01108677891304173,0.010960788698304929,0.014659088951530671,0.0,0.06587635724935345,0.056686516131361525,0.01013793755049704
SU3nf5,0.03158937936852968,0.018877529263945293,0.023999999999999997,0.025873624493766706,0.09204784383979647,0.028196236943567092,0.020344259359556166,0.03299831645537222,0.06587635724935345,0.0,0.038537139373740634,0.02458319208998972
SU2nf5,0.0,0.0016329931618554463,0.0,0.0011666666666666624,0.037267799624996496,0.007023769168568506,0.0,0.020822663934601,0.056686516131361525,0.038537139373740634,0.0,0.018193405398660243
SO5nf5,0.0,0.05183333333333333,0.07871467461661771,0.06013618803275703,0.03487318294748687,0.06563281699475247,0.08352378237497522,0.03823501885270448,0.01013793755049704,0.02458319208998972,0.018193405398660243,0.0
