Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,Sp2nf5,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,0.9998333333333334,1.0,1.0,0.8831666666666667,0.9983333333333334,1.0,0.9981666666666668,0.9945,0.9123333333333332,1.0,1.0
SU2adj1nf2,0.9998333333333334,0.0,0.8863333333333333,0.9393333333333334,0.8960000000000001,0.9553333333333334,0.9661666666666667,0.9941666666666668,0.9964999999999999,0.9934999999999999,0.9996666666666667,0.9038333333333335
SU3adj1nf2,1.0,0.8863333333333333,0.0,0.7663333333333334,0.8968333333333334,0.8786666666666666,0.797,0.9925,0.9969999999999999,0.9903333333333335,1.0,0.6563333333333334
SU3adj1nf3,1.0,0.9393333333333334,0.7663333333333334,0.0,0.897,0.7998333333333334,0.6240000000000001,0.988,0.9969999999999999,0.9883333333333334,0.9998333333333334,0.6051666666666666
SU3nf6,0.8831666666666667,0.8960000000000001,0.8968333333333334,0.897,0.0,0.8891666666666667,0.8978333333333332,0.8538333333333334,0.8178333333333333,0.8038333333333334,0.8916666666666667,0.8938333333333334
SU3adj1nf4,0.9983333333333334,0.9553333333333334,0.8786666666666666,0.7998333333333334,0.8891666666666667,0.0,0.8206666666666667,0.7219999999999999,0.9941666666666668,0.9705000000000001,0.9946666666666667,0.6779999999999999
SU5adj1nf2,1.0,0.9661666666666667,0.797,0.6240000000000001,0.8978333333333332,0.8206666666666667,0.0,0.9858333333333333,0.9941666666666665,0.9900000000000001,1.0,0.7526666666666667
SU5adj1nf4,0.9981666666666668,0.9941666666666668,0.9925,0.988,0.8538333333333334,0.7219999999999999,0.9858333333333333,0.0,0.968,0.9033333333333331,0.9534999999999999,0.9648333333333333
Sp2nf5,0.9945,0.9964999999999999,0.9969999999999999,0.9969999999999999,0.8178333333333333,0.9941666666666668,0.9941666666666665,0.968,0.0,0.5768333333333333,0.9771666666666667,0.995
SU3nf5,0.9123333333333332,0.9934999999999999,0.9903333333333335,0.9883333333333334,0.8038333333333334,0.9705000000000001,0.9900000000000001,0.9033333333333331,0.5768333333333333,0.0,0.9656666666666667,0.9853333333333335
SU2nf5,1.0,0.9996666666666667,1.0,0.9998333333333334,0.8916666666666667,0.9946666666666667,1.0,0.9534999999999999,0.9771666666666667,0.9656666666666667,0.0,0.9203333333333333
SO5nf5,1.0,0.9038333333333335,0.6563333333333334,0.6051666666666666,0.8938333333333334,0.6779999999999999,0.7526666666666667,0.9648333333333333,0.995,0.9853333333333335,0.9203333333333333,0.0
