Charge,Minimal gap,Maximal gap,Mean gap,Stdev gap,Median gap,1st quartile gap,3rd quartile gap,Number of relevant ops,Log of number of relevant ops,Mean dimension,Stdev dimension,Minimal dimension,Maximal dimension,Median dimension,1st quartile dimension,3rd quartile dimension
a,0.0017338611186570082,0.006372605629862089,0.0019779217821796163,0.0021934273721320903,0.004719524528288983,0.002168756111303891,0.0031541108858740095,1.2499911085497781,0.021722550389580042,0.0038582040620077705,0.0007069521607790977,0.006120065806921957,0.0021846668462273695,0.0063370291561922285,0.007915272233670596,0.005569560090268624
c,0.00480912996165235,0.004375185092634032,0.003516143704830081,0.0025043574013340554,0.0029309265552053335,0.003848184281740335,0.004598470960166752,1.716106567844852,0.028167147802390293,0.006304599866586311,0.0009853425407075633,0.005970883546131884,0.00450963389561846,0.00811235036252381,0.008975969159300424,0.005565239926142264
a - c,-0.003075268842995342,0.001997420537228057,-0.0015382219226504645,-0.0003109300292019651,0.0017885979730836495,-0.0016794281704364442,-0.0014443600742927425,-0.4661154592950738,-0.006444597412810251,-0.00244639580457854,-0.00027839037992846564,0.000149182260790073,-0.002324967049391091,-0.0017753212063315819,-0.0010606969256298279,4.32016412635957e-06
