Score,1,2,3,4,5,6,7,8,9,10
R2,0.9260416505363651,0.9129952989488761,0.9030768182029648,0.925611350348073,0.9227970430946885,0.899172011030377,0.8984151447427011,0.9094817141343078,0.9053753858479061,0.9092764535629987
RMSE,0.7061617014090535,0.7679909435689527,0.8100521393385265,0.7078563704327959,0.7216853825303722,0.82436417635087,0.8314501026479784,0.7857526499171533,0.8019442493865285,0.7831644797493835
Error,16.038175673828622%,17.010437134070873%,16.263931951503206%,15.468095861663347%,15.97675496718575%,16.601934603176698%,16.98634677336928%,16.338717972553475%,16.043438495923198%,15.903503786772784%
