Theories,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,Sp2adj1nf1,SU4a3A3nf1,SU6s1a1A2F8nf1,SO5adj1nf2,SU7a2A2nf1,SU2adj1nf2,SU6adj1s1A1F8nf1,SU6s2S2nf1,SU3nf6,Sp3a3nf1,SU3adj1nf4,SU5adj1a2A2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU2nf4,0.0,0.0,0.002260776661041748,0.002260776661041748,0.020011108026404843,0.0047609522856952285,0.0027080128015453103,0.001979057014506312,0.0,0.0016329931618554463,0.0067102740463991385,0.0011666666666666624,0.044910095375835776,0.003004626062886659,0.005937171043518957,0.0011666666666666624,0.026679163738351656,0.0011666666666666624,0.0011666666666666624,0.0,0.024689178916188277,0.0011666666666666624,0.024508501926202395,0.008950481054731712,0.0068718427093627694,0.013666666666666666,0.002260776661041748,0.0016329931618554463
SU9s2A2F16nf0,0.0,0.0,0.020594632526192078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043520110293977884,0.0,0.0011666666666666624,0.028529224782083838,0.04193546629445454,0.0,0.0,0.0,0.023274330161025997,0.0,0.010677078252031317,0.007833333333333345,0.009655165571973491,0.008333333333333337,0.09804817410051268,0.003818813079129868
SU10s2A2F16nf1,0.002260776661041748,0.020594632526192078,0.0,0.002260776661041748,0.00650000000000001,0.0033333333333333214,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.047227581395244494,0.002260776661041748,0.02939623936643748,0.03119116684077222,0.00884433277428107,0.002260776661041748,0.002260776661041748,0.001979057014506312,0.018685258598394844,0.002260776661041748,0.0027080128015453103,0.01445779297741457,0.02778088871468618,0.004409585518440992,0.04343705535343961,0.008480369488805699
Sp2s1a2nf0,0.002260776661041748,0.0,0.002260776661041748,0.0,0.08991106717195607,0.0571404215750792,0.0011666666666666624,0.002499999999999991,0.008976822006330166,0.0035590260840104243,0.0,0.010960788698304934,0.11118665487468458,0.009293067906300434,0.0016329931618554463,0.005166666666666663,0.002260776661041748,0.00578311719096582,0.003480102169636847,0.003480102169636847,0.0011666666666666624,0.007557189365836436,0.0033333333333333214,0.011996527275285414,0.0027080128015453103,0.006823163163486247,0.0011666666666666624,0.0076376261582597445
Sp2s1a2nf1,0.020011108026404843,0.0,0.00650000000000001,0.08991106717195607,0.0,0.06699419543678557,0.0011666666666666624,0.002260776661041748,0.0069940450861191,0.0027080128015453103,0.0016329931618554463,0.007500000000000007,0.08475454756727413,0.005385164807134514,0.002499999999999991,0.003929942040850527,0.00401732359773131,0.006757711644237771,0.004096068575814829,0.0055901699437494725,0.001632993161855446,0.008326663997864539,0.004932882862316248,0.011827463332806784,0.007071067811865471,0.008498365855987984,0.004725815626252612,0.010225241100118652
Sp2s2a1nf1,0.0047609522856952285,0.0,0.0033333333333333214,0.0571404215750792,0.06699419543678557,0.0,0.0011666666666666624,0.002499999999999991,0.006718548123582136,0.002499999999999991,0.0,0.006871842709362779,0.06105916984550496,0.005918426968188235,0.001979057014506312,0.004642796092394702,0.0030550504633038824,0.004787135538781693,0.004179978734661485,0.006403124237432851,0.0,0.0060644684662200885,0.005,0.009604686356149287,0.005068968775248515,0.008393118874676125,0.06242973828410801,0.009949874371066206
SU5s1a1A2F8nf0,0.0027080128015453103,0.0,0.002260776661041748,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.0,0.023653165162874544,0.006584915421712818,0.01730767331432955,0.04156019730463272,0.007195677714974319,0.026343879744638983,0.009352658564398814,0.0293276509647655,0.013913422775626898,0.04985228179331412,0.010904891868637067,0.037178622890042604,0.10273496105134913,0.05157222551378257,0.019261360284258226,0.02782335150352826,0.04086733278413076,0.06992555565266058,0.015205992970609383,0.06672684783670081,0.08014847333404285
SU5s1a1A2F8nf1,0.001979057014506312,0.0,0.002260776661041748,0.002499999999999991,0.002260776661041748,0.002499999999999991,0.023653165162874544,0.0,0.016244657241348284,0.02049661218619093,0.03741508905360094,0.01692220763113109,0.026381811916545844,0.01780761385225745,0.09532473737470015,0.035860842154082216,0.027846803127907594,0.0200201287597147,0.02134439817219809,0.023528351691806487,0.028198207192814392,0.020589236670325264,0.026087459737497546,0.024610295948376285,0.035079275299748656,0.021612753436596435,0.034607320998116385,0.03789202495981913
Sp2adj1nf1,0.0,0.0,0.002260776661041748,0.008976822006330166,0.0069940450861191,0.006718548123582136,0.006584915421712818,0.016244657241348284,0.0,0.036174346342862,0.017215141913766243,0.05222919575188659,0.02794637722496424,0.04715253027262811,0.05757989618299469,0.06008882314263334,0.019524912860809963,0.047511402140258216,0.024621580416825845,0.025100354136501295,0.014840822079655827,0.0701355829803959,0.04291982189048682,0.0378608563617418,0.024776781245530836,0.03255294832184091,0.09996235402501395,0.07364498172539208
SU4a3A3nf1,0.0016329931618554463,0.0,0.002260776661041748,0.0035590260840104243,0.0027080128015453103,0.002499999999999991,0.01730767331432955,0.02049661218619093,0.036174346342862,0.0,0.021731313812100733,0.03420729291962299,0.026049632115124653,0.03581433604950212,0.026465910988372268,0.039370039370059055,0.051246680109273635,0.0367861688984083,0.05173006862551025,0.06632851741311743,0.06238878994748265,0.05898705130977664,0.04419024527854284,0.051765765177812686,0.09861893552682693,0.06320689132611342,0.057600395446173416,0.056353300208989036
SU6s1a1A2F8nf1,0.0067102740463991385,0.0,0.002260776661041748,0.0,0.0016329931618554463,0.0,0.04156019730463272,0.03741508905360094,0.017215141913766243,0.021731313812100733,0.0,0.02244808826307191,0.02595722977857572,0.020361319538117685,0.04164132562731402,0.02753785273643051,0.0565442304749123,0.0253311402559511,0.040809857197060186,0.04811011674620353,0.05762064637687509,0.030741304100148022,0.04184130070211064,0.03515402616423268,0.04063010651666514,0.03405224743765902,0.05189305241445034,0.0845512664994834
SO5adj1nf2,0.0011666666666666624,0.0,0.002260776661041748,0.010960788698304934,0.007500000000000007,0.006871842709362779,0.007195677714974319,0.01692220763113109,0.05222919575188659,0.03420729291962299,0.02244808826307191,0.0,0.026236636810214667,0.030013422923011557,0.06565820588471787,0.07894952677361516,0.045801807339400424,0.045113745133828126,0.0344323007266917,0.02624087142861939,0.02566666666666666,0.05320949163448191,0.04999472194364345,0.04684489774185066,0.032439687626938295,0.03920211162113025,0.09443457464768341,0.04756983170969695
