Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,Sp5a3nf1,SU4adj1a2A2nf1,SU4s1S1a2A2nf1,SO5nf5,SU2adj2nf1,Sp4s1a1nf1,SU5s1S1a2A2nf1
SU2nf4,0.0,0.0,0.006666666666666682,0.009166666666666682,0.0,0.020749832663314535,0.0038188130791298527,0.02849220166213128,0.002499999999999991,0.0,0.002499999999999991,0.0075000000000000075,0.0076829537144107425,0.015898986690282422,0.0,0.002499999999999991,0.04475240527365851,0.002499999999999991,0.0033333333333333214,0.0,0.007861650943380512,0.0,0.0033333333333333214,0.019720265943665383,0.017078251276599326,0.0,0.0,0.0,0.0,0.008164965809277279,0.0,0.0,0.0,0.0,0.0,0.0,0.002499999999999991,0.0,0.002499999999999991,0.005000000000000016,0.002499999999999991,0.0,0.0,0.0
SU2adj1nf2,0.0,0.0,0.02561737691489897,0.05715476066494083,0.04102844541697057,0.030057814661452378,0.0058333333333333475,0.018708286933869687,0.014337208778404371,0.0660387091871965,0.002499999999999991,0.09185208519982307,0.026352313834736484,0.02266911751455907,0.0,0.016687486995417337,0.022973414586817033,0.036026610535362144,0.0075000000000000015,0.029297326385411587,0.04699290726623893,0.05191472709057508,0.007637626158259735,0.03477107674170842,0.005527707983925673,0.033839900840411594,0.022730302828309745,0.025603819159562023,0.0816879224039066,0.025563102750296617,0.07168604389202188,0.08259674462242576,0.05652555960703874,0.03056186803482042,0.02714416245817054,0.03711842908553348,0.021229565338094995,0.07163274390947202,0.06883958809354461,0.01224744871391588,0.04073116469949978,0.06934715407122184,0.04525391327461822,0.014907119849998613
SU6s1a1A2F8nf1,0.006666666666666682,0.02561737691489897,0.0,0.037721567659187584,0.03045944480416178,0.04027681991198192,0.05517648452415618,0.07049428660852201,0.03279778109025737,0.040833333333333346,0.002499999999999991,0.01827642683288443,0.046398036356916875,0.05263210891546043,0.0,0.02886751345948127,0.02409472049133492,0.039965262694272655,0.0,0.024166666666666677,0.059517737785563664,0.06706133179576905,0.0,0.029825883613622133,0.002499999999999991,0.04200694387042855,0.026352313834736515,0.023935677693908447,0.03206980234148975,0.019454362549881248,0.030743111242827862,0.026087459737497536,0.07009913614937696,0.08349983366583566,0.06368869601428498,0.027500000000000004,0.02187400791401115,0.020344259359556173,0.043851073723076256,0.020816659994661313,0.03287180487219337,0.05835713800003866,0.03321855237999125,0.012499999999999995
SU6adj1s1A1F8nf1,0.009166666666666682,0.05715476066494083,0.037721567659187584,0.0,0.03100179206289712,0.029767618499152916,0.02905932629027118,0.030607279453678277,0.055677643628300216,0.049413223601245324,0.024565671621639442,0.041674999166833294,0.042687494916219,0.05727613425813196,0.0,0.05423713365090993,0.023407619841980216,0.030686587732536616,0.0,0.05528336096873995,0.031135902820449014,0.04758034141206733,0.002499999999999991,0.03166666666666666,0.002499999999999991,0.03105774192264037,0.03215630230262457,0.03206980234148975,0.03424787098005754,0.02081665999466133,0.03313482558678506,0.03150176361905966,0.026627575514450746,0.07411046559772182,0.0378318648760539,0.029450995078453838,0.03863108995499754,0.029767618499152916,0.034166666666666665,0.025887040945015104,0.03292457710856402,0.04790760783934936,0.02959213484094117,0.04601479230759507
SU3adj1nf2,0.0,0.04102844541697057,0.03045944480416178,0.03100179206289712,0.0,0.05795112883571236,0.018800856954464137,0.13311440359496957,0.015723301886760997,0.07407297452887628,0.002499999999999991,0.030459444804161774,0.06871842709362769,0.06160469859425407,0.0,0.052579305181157866,0.02416666666666666,0.06180727213596219,0.00816496580927727,0.071956777149743,0.07301065371269837,0.08236520975374116,0.012247448713915877,0.07036117142603897,0.005527707983925671,0.12046207333061769,0.04851259859275962,0.08916666666666667,0.043172779489962065,0.024776781245530843,0.03940530139178963,0.05778912815861936,0.045833333333333344,0.07414325473178408,0.07304869000270375,0.10036046144883065,0.025289984842489188,0.05811865258054231,0.08301606270274847,0.02824741876113049,0.07291547618075785,0.05944768942337269,0.047324236215002285,0.012499999999999995
SU3adj1nf3,0.020749832663314535,0.030057814661452378,0.04027681991198192,0.029767618499152916,0.05795112883571236,0.0,0.024944382578492935,0.1276088859671527,0.016329931618554522,0.06791027577293111,0.002499999999999991,0.0204803428790742,0.05886071128803432,0.059628479399994376,0.0,0.0541410195692693,0.024734703466093046,0.07708220719898118,0.005527707983925673,0.05775907817054487,0.05664828133119113,0.06531972647421808,0.0033333333333333214,0.03818813079129866,0.004082482904638615,0.08991122164545298,0.059371710435189594,0.07139969654463993,0.049476425362657984,0.030092450142112995,0.06723197817176649,0.10199400853862828,0.045825756949558406,0.07666666666666666,0.03321855237999123,0.06121455890735654,0.02187400791401115,0.09422196016735046,0.04163331998932265,0.03296673407475415,0.062383224240709675,0.05325515102890151,0.03254270698294441,0.012499999999999995
SU5s1a1A2F8nf0,0.0038188130791298527,0.0058333333333333475,0.05517648452415618,0.02905932629027118,0.018800856954464137,0.024944382578492935,0.0,0.09714322187139747,0.01980810720667452,0.01404358295529392,0.0033333333333333214,0.07896905160321423,0.02236067977499789,0.06423156890847712,0.0,0.01000000000000001,0.023407619841980216,0.039826010484495064,0.0,0.0055901699437494795,0.03940530139178964,0.08967921225741844,0.002499999999999991,0.00768295371441073,0.0,0.05354774608805783,0.010540925533894603,0.016583123951776992,0.04561310727801337,0.02494438257849296,0.026731691553909056,0.007637626158259754,0.05664828133119114,0.010172129679778086,0.03060727945367825,0.041508031351374236,0.021746647251166484,0.011303883305208772,0.0460675832036175,0.014337208778404373,0.004166666666666652,0.010671873729054742,0.01083333333333333,0.013540064007726595
SU3nf6,0.02849220166213128,0.018708286933869687,0.07049428660852201,0.030607279453678277,0.13311440359496957,0.1276088859671527,0.09714322187139747,0.0,0.016996731711975955,0.1365141425315015,0.007637626158259738,0.02204792759220494,0.023921166824012203,0.06392812804670224,0.04412734098291243,0.020155644370746368,0.02610076627227638,0.06057593948462083,0.0033333333333333214,0.016007810593582122,0.037721567659187584,0.09282974259961681,0.002499999999999991,0.029214246904930182,0.0033333333333333214,0.08114202226822904,0.12169234888758529,0.11897712198383163,0.09553940431977674,0.06733518974338586,0.15802821478035706,0.0504149448741806,0.07668930825088985,0.10334677331951665,0.08147937707720211,0.12103718436910205,0.02534484387624257,0.1609779142891623,0.04755114205895702,0.03287180487219338,0.09761389359216353,0.03641008712492246,0.11714485335116803,0.012499999999999995
SU5s1a1A2F8nf1,0.002499999999999991,0.014337208778404371,0.03279778109025737,0.055677643628300216,0.015723301886760997,0.016329931618554522,0.01980810720667452,0.016996731711975955,0.0,0.02022443516585266,0.002499999999999991,0.014930394055974088,0.016749792701868143,0.01572330188676101,0.0,0.01493039405597409,0.023407619841980216,0.016266017746619288,0.0,0.012047360245667467,0.023584952830141483,0.02006932429798716,0.0,0.020497289793748076,0.0,0.01952562418976663,0.015723301886760997,0.01755942292142123,0.0214249335536374,0.09411871935663667,0.02148966159704603,0.016996731711975948,0.07701460900374679,0.025344843876242577,0.08409650541028577,0.01804700652308976,0.02187400791401115,0.014907119849998589,0.016266017746619284,0.02187400791401114,0.012909944487358055,0.018427786989579968,0.01666666666666667,0.014457792977414554
SU6s2S2nf1,0.0,0.0660387091871965,0.040833333333333346,0.049413223601245324,0.07407297452887628,0.06791027577293111,0.01404358295529392,0.1365141425315015,0.02022443516585266,0.0,0.031578825535827366,0.026352313834736484,0.10227957328377506,0.10938273782152891,0.03500991922933335,0.08969469822062444,0.028734899415944426,0.03091206165165237,0.008975274678557521,0.08253366316573835,0.07032168149929927,0.05164650144115388,0.0033333333333333214,0.09357483636106449,0.0055901699437494795,0.10651030205780303,0.06872347973339728,0.03863108995499751,0.09791223394221764,0.0263523138347365,0.09548487372935625,0.09947431270880382,0.042687494916218975,0.07659870175865327,0.08216260977138232,0.0759431439374952,0.041499665326629125,0.11696687565289585,0.15180396715647598,0.02682246156571849,0.07959969290839702,0.10762589527308628,0.06980130530457307,0.026470633623780986
SU10s2A2F16nf1,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.024565671621639442,0.002499999999999991,0.002499999999999991,0.0033333333333333214,0.007637626158259738,0.002499999999999991,0.031578825535827366,0.0,0.020086617988656606,0.031280540631872446,0.021794494717703356,0.023333333333333314,0.002499999999999991,0.049025220266942414,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.012360330811826099,0.00816496580927727,0.0033333333333333214,0.005335936864527384,0.0033333333333333214,0.0,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.0101721296797781,0.009999999999999998,0.03037954355593029,0.002499999999999991,0.002499999999999991,0.005527707983925673,0.12333614861651693,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.004166666666666652,0.0033333333333333214,0.002499999999999991
