Theories,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,Sp3a3nf1,SO12s2nf1,SO5nf5,SU4s1S1a2A2nf1,SU5s1S1a2A2nf1,SU5s1S1a1A1nf1,SU5a3A3nf0,SU2adj2nf1,SU2adj1nf3,Sp2s2nf1,SU7s1S2a1f8nf0,SU6s2S2nf1,SU3nf6,SU2adj1nf2,Sp4a3nf0,Sp2adj1nf1,Sp5a3nf1,SO5adj1nf2,SU7a2A2nf1,SU3adj2nf2,Sp2s1a2nf1,SU6adj1s1A1F8nf1,Sp2s1a2nf0,Sp2adj1a2nf4,SU3adj1nf3,SU3adj1nf4,SU4adj2a1A1nf0,Sp2s2a1nf1,Sp2adj2nf2,SU5adj1a2A2nf1,Sp2s1a1nf2,Sp4s1a1nf1,SU8s1S2a1f8nf1,SU3adj1nf2,SU4adj1a2A2nf1,SU4adj2a1A1nf1,SU5adj1s1A1F8nf0
SU9s2A2F16nf0,0.0,1.0,0.9525,0.9833333333333334,0.9991666666666668,1.0,1.0,1.0,1.0,0.9983333333333334,0.9966666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9850000000000001,1.0,0.8758333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9941666666666666,1.0,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9708333333333334,1.0,1.0,1.0,0.9308333333333334
SU2nf4,1.0,0.0,0.9550000000000001,1.0,0.9991666666666668,1.0,0.9975000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8758333333333332,1.0,1.0,1.0,1.0,1.0,0.9983333333333334,1.0,1.0,0.9941666666666666,1.0,0.8466666666666667,1.0,0.9966666666666667,1.0,1.0,0.9991666666666668,1.0,1.0,1.0,0.9533333333333334,1.0,0.9949999999999999,1.0,0.9541666666666666
SU10s2A2F16nf1,0.9525,0.9550000000000001,0.0,0.9808333333333333,0.9975000000000002,0.9991666666666668,0.9883333333333333,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9974999999999999,0.9991666666666668,0.9933333333333334,0.9950000000000001,0.9966666666666667,0.9991666666666668,0.9991666666666668,0.9733333333333334,0.9974999999999999,0.8708333333333332,0.9949999999999999,0.9949999999999999,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9883333333333333,0.9991666666666668,0.9991666666666668,0.9958333333333333,0.9991666666666668,0.9516666666666668,0.9991666666666668,0.9974999999999999,0.9991666666666668,0.9983333333333334,0.9941666666666666,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.8141666666666666,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9283333333333331
SU4a3A3nf1,0.9833333333333334,1.0,0.9808333333333333,0.0,0.9791666666666666,0.9791666666666667,0.9674999999999999,0.9658333333333333,0.9775,0.925,0.9799999999999999,0.9724999999999999,0.9783333333333332,0.9708333333333334,0.9800000000000001,0.9783333333333333,0.9774999999999998,0.975,0.9783333333333333,0.9741666666666667,0.9749999999999999,0.9716666666666667,0.9783333333333333,0.9733333333333333,0.9758333333333333,0.9716666666666667,0.9758333333333333,0.9758333333333333,0.9516666666666668,0.9783333333333333,0.7758333333333334,0.9691666666666666,0.9574999999999999,0.9783333333333333,0.9783333333333333,0.9724999999999999,0.9349999999999999,0.9716666666666667,0.9733333333333333,0.9525,0.9716666666666667,0.9708333333333334,0.9783333333333333,0.9458333333333334
SU5s1a1A2F8nf0,0.9991666666666668,0.9991666666666668,0.9975000000000002,0.9791666666666666,0.0,0.97,0.9141666666666668,0.9899999999999999,0.9950000000000001,0.9916666666666668,0.9908333333333333,0.9875000000000002,0.9941666666666669,0.9291666666666666,0.9950000000000001,0.9908333333333331,0.9924999999999999,0.8441666666666666,0.9949999999999999,0.8724999999999999,0.9908333333333331,0.9908333333333331,0.9933333333333334,0.9899999999999999,0.9925,0.9899999999999999,0.9908333333333331,0.9908333333333331,0.9008333333333335,0.9933333333333334,0.8099999999999999,0.9899999999999999,0.9466666666666667,0.9908333333333331,0.9908333333333333,0.9883333333333333,0.9491666666666667,0.9899999999999999,0.9891666666666665,0.8458333333333334,0.9908333333333331,0.9433333333333334,0.9908333333333333,0.8458333333333332
SU5s1a1A2F8nf1,1.0,1.0,0.9991666666666668,0.9791666666666667,0.97,0.0,0.825,0.9933333333333334,0.9858333333333332,0.9933333333333334,0.9825000000000002,0.9833333333333332,0.9866666666666666,0.985,0.9866666666666666,0.9916666666666668,0.9874999999999998,0.8391666666666667,0.9858333333333332,0.8733333333333334,0.9908333333333333,0.9925,0.99,0.9916666666666668,0.9908333333333335,0.9908333333333333,0.99,0.9891666666666667,0.8891666666666668,0.9908333333333333,0.7475,0.9916666666666666,0.9833333333333334,0.99,0.9875,0.9891666666666665,0.9875,0.99,0.9883333333333333,0.7791666666666668,0.99,0.9891666666666667,0.99,0.86
SU6s1a1A2F8nf1,1.0,0.9975000000000002,0.9883333333333333,0.9674999999999999,0.9141666666666668,0.825,0.0,0.93,0.9816666666666667,0.9608333333333332,0.975,0.9716666666666667,0.9791666666666666,0.9208333333333332,0.9825000000000002,0.9316666666666666,0.9733333333333334,0.8341666666666667,0.9741666666666667,0.8691666666666664,0.9600000000000002,0.9191666666666667,0.9658333333333333,0.9283333333333333,0.9591666666666667,0.9141666666666668,0.9433333333333334,0.9458333333333332,0.7825,0.9516666666666665,0.7675,0.9266666666666667,0.7541666666666667,0.9666666666666666,0.9583333333333333,0.9133333333333334,0.9125,0.9358333333333334,0.9383333333333335,0.7466666666666667,0.9391666666666667,0.9308333333333334,0.9475,0.7333333333333334
Sp3a3nf1,1.0,1.0,0.9991666666666668,0.9658333333333333,0.9899999999999999,0.9933333333333334,0.93,0.0,0.9958333333333332,0.6874999999999999,0.9941666666666666,0.9875,0.9941666666666666,0.725,0.9958333333333332,0.9883333333333335,0.9933333333333334,0.8441666666666666,0.9949999999999999,0.86,0.9341666666666667,0.7258333333333333,0.9891666666666667,0.9058333333333334,0.9891666666666667,0.6958333333333333,0.99,0.9875000000000002,0.8591666666666666,0.9875,0.7166666666666667,0.7825,0.6016666666666668,0.99,0.9891666666666667,0.9825000000000002,0.9366666666666668,0.9741666666666667,0.99,0.8125,0.9366666666666668,0.9516666666666665,0.9866666666666667,0.6641666666666668
SO12s2nf1,1.0,1.0,0.9991666666666668,0.9775,0.9950000000000001,0.9858333333333332,0.9816666666666667,0.9958333333333332,0.0,0.9841666666666666,0.6625,0.695,0.7841666666666666,0.9766666666666666,0.85,0.9424999999999999,0.8516666666666666,0.9158333333333333,0.665,0.8800000000000001,0.9833333333333334,0.9908333333333333,0.9550000000000001,0.99,0.9708333333333332,0.9308333333333332,0.8991666666666667,0.9541666666666666,0.9083333333333334,0.95,0.915,0.9800000000000001,0.9741666666666665,0.8408333333333333,0.5933333333333334,0.8158333333333333,0.9625,0.9799999999999999,0.8800000000000001,0.93,0.9,0.9583333333333334,0.7008333333333334,0.8458333333333334
SO5nf5,0.9983333333333334,1.0,0.9991666666666668,0.925,0.9916666666666668,0.9933333333333334,0.9608333333333332,0.6874999999999999,0.9841666666666666,0.0,0.9949999999999999,0.9791666666666666,0.9383333333333332,0.8016666666666665,0.9141666666666668,0.9733333333333333,0.9133333333333333,0.9208333333333332,0.9558333333333332,0.8625,0.76,0.8616666666666667,0.9283333333333333,0.9250000000000002,0.89,0.885,0.9108333333333333,0.9325000000000001,0.905,0.8741666666666665,0.8549999999999999,0.86,0.835,0.8983333333333334,0.9108333333333334,0.9041666666666668,0.8825,0.9025000000000001,0.8941666666666668,0.8950000000000001,0.8591666666666666,0.8858333333333333,0.8258333333333333,0.8466666666666667
