Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,0.0,0.005467073155618909,0.005746979883188893,0.0,0.007762087348130018,0.003480102169636847,0.026812621406096547,0.0,0.0,0.027254459370083927,0.031841621957571335,0.07041957587678775,0.021229565338094985,0.0,0.0,0.003958114029012651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU2adj1nf2,0.0,0.0,0.01589898669028242,0.03133554956701202,0.06529846008053243,0.07862516560660884,0.006666666666666691,0.026781523481684156,0.009165151389911695,0.021035023703866416,0.005166666666666672,0.07755374480534988,0.06313763624900057,0.0835778080593168,0.0,0.059397203450817275,0.11327559803907951,0.11660283968335515,0.06329911356233812,0.06331139971074194,0.019462214102659997,0.04386500756740946,0.034271789500339135,0.07630057521262718,0.07892137437559822,0.04540588557053418,0.07296422258735974,0.014514360704718152
SU6s1a1A2F8nf1,0.005467073155618909,0.01589898669028242,0.0,0.08081889905488965,0.020453877654643165,0.021236760581595297,0.05302017435739804,0.026078939992091533,0.07435575147745987,0.016414763002993514,0.010761298971571952,0.054710348401579595,0.08918784795151312,0.08657190331998277,0.0,0.01617697266006356,0.03478345711525651,0.09632179861738924,0.015092308563562357,0.014784564022430051,0.01584736220602309,0.017417264742522323,0.017736497211493955,0.020404928598530086,0.020857319525235677,0.04588754369833567,0.021140403654298246,0.013625955623979787
SU6adj1s1A1F8nf1,0.005746979883188893,0.03133554956701202,0.08081889905488965,0.0,0.04086733278413076,0.03647678104706549,0.032444824959716866,0.058988934932277304,0.04292791114829087,0.0510775554100494,0.01125956383603636,0.04646862740961189,0.0704629532291812,0.059500000000000004,0.00777460252646041,0.029806785208144216,0.06456886934807585,0.07301065371269835,0.029957840746993463,0.031224989991991994,0.02954093205480603,0.05420152724375537,0.05808136055951551,0.039120895240835736,0.030207155149438062,0.05152372700459901,0.032892501678447435,0.015719768163402124
SU3adj1nf2,0.0,0.06529846008053243,0.020453877654643165,0.04086733278413076,0.0,0.06716563274638469,0.009195409482755827,0.02641758673476608,0.009492687243932109,0.07946435259494243,0.002260776661041748,0.07088743032285609,0.05675874871379351,0.09838473232954163,0.0,0.060614675524074936,0.11347160682547665,0.08965117586140928,0.04966806485727692,0.06757711644237764,0.041508031351374236,0.050204028169504936,0.07551232423327407,0.0711026253617497,0.0508289615606431,0.06684226872936681,0.033681927234382264,0.014715826703096072
SU3adj1nf3,0.007762087348130018,0.07862516560660884,0.021236760581595297,0.03647678104706549,0.06716563274638469,0.0,0.008359957469322984,0.027092434368288124,0.009293067906300446,0.03421987726453734,0.002499999999999991,0.06394442031083626,0.0757922965889161,0.06815912753745215,0.0035000000000000022,0.09852185318778547,0.1136330595479248,0.07136058669415024,0.11244702456416235,0.09209430553031556,0.032685793720072194,0.04213898959923511,0.04444878451031529,0.0477577800526318,0.10817372858303237,0.07583315018292901,0.1397447077113596,0.01598610507770906
SU5s1a1A2F8nf0,0.003480102169636847,0.006666666666666691,0.05302017435739804,0.032444824959716866,0.009195409482755827,0.008359957469322984,0.0,0.026816765071292416,0.01584736220602308,0.007939003575876388,0.005567764362830027,0.07456615258353558,0.08434864814829247,0.03910846739802293,0.0,0.00851306185941477,0.008789197915623485,0.03748666429545311,0.008406346808612342,0.006930207628763951,0.007009913614937717,0.008268077836541658,0.008020806277010663,0.008069145624606821,0.007088723439378935,0.029427877939124318,0.007266743118863895,0.01433720877840437
SU3nf6,0.026812621406096547,0.026781523481684156,0.026078939992091533,0.058988934932277304,0.02641758673476608,0.027092434368288124,0.026816765071292416,0.0,0.02666093688442991,0.026523050771399246,0.026948510575210312,0.09688323441706057,0.05875112292071058,0.028025781781146522,0.026925824035672525,0.026810031290130525,0.02770679820308847,0.02628952051462501,0.02671298061492452,0.026854029285917014,0.031772192593874,0.026428099523886396,0.026523050771399246,0.026934075897354345,0.026532998322843195,0.026925824035672518,0.03439799735772741,0.04237530727518877
SU5s1a1A2F8nf1,0.0,0.009165151389911695,0.07435575147745987,0.04292791114829087,0.009492687243932109,0.009293067906300446,0.01584736220602308,0.02666093688442991,0.0,0.009517527690179503,0.0011666666666666624,0.04126338166785009,0.09575953680385516,0.06371049974515801,0.0,0.009370461864580413,0.009315459074988095,0.024924329925240154,0.009000000000000015,0.009597453365925327,0.009753916592266366,0.009263128821060182,0.009921917377424823,0.01010500426081609,0.011000000000000013,0.011661903789690614,0.008539125638299682,0.013666666666666657
SU6s2S2nf1,0.0,0.021035023703866416,0.016414763002993514,0.0510775554100494,0.07946435259494243,0.03421987726453734,0.007939003575876388,0.026523050771399246,0.009517527690179503,0.0,0.004725815626252612,0.07160772770215981,0.04287870489337724,0.079115948666077,0.0,0.034999999999999996,0.0807258735887489,0.03644211544048696,0.03374084237899885,0.12190854951333167,0.08698802599591893,0.05656461398750596,0.08165578158750712,0.05506158168612464,0.06252221827300898,0.06736797788596927,0.005500000000000003,0.01358512258154321
