Theories,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1,Sp3a3nf1,SU6s2S2nf1,SU3nf6,Sp2adj1nf1,Sp2s2a1nf1,SU2adj1nf2,SU6adj1s1A1F8nf1,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf1,Sp2s1a2nf0,SU3adj1nf4,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
SU9s2A2F16nf0,0.0,0.0,0.014817407180595245,0.012615026313444166,0.0,0.0,0.0,0.0,0.0,0.0,0.026925824035672525,0.0,0.0,0.0,0.00777460252646041,0.0,0.0,0.0,0.0,0.011551815634108974,0.06103027481868687,0.0,0.0035000000000000022,0.0,0.0,0.0,0.030928232338036318,0.03410930143589054
SU2nf4,0.0,0.0,0.027254459370083927,0.0,0.003480102169636847,0.0,0.0,0.005467073155618909,0.0,0.0,0.026812621406096547,0.0,0.0,0.0,0.005746979883188893,0.0,0.003958114029012651,0.0,0.0,0.0,0.07041957587678775,0.0,0.007762087348130018,0.0,0.0,0.0,0.031841621957571335,0.021229565338094985
SU10s2A2F16nf1,0.014817407180595245,0.027254459370083927,0.0,0.01212893693244016,0.005567764362830027,0.0011666666666666624,0.0067164805598699685,0.010761298971571952,0.002260776661041748,0.004725815626252612,0.026948510575210312,0.002260776661041748,0.003609401304617949,0.005166666666666672,0.01125956383603636,0.002260776661041748,0.014047538337136989,0.00401732359773131,0.002260776661041748,0.0038333333333333284,0.053355203849088394,0.002260776661041748,0.002499999999999991,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.08469372927069499,0.038909082058905815
SU4a3A3nf1,0.012615026313444166,0.0,0.01212893693244016,0.0,0.01433720877840437,0.013666666666666657,0.013437096247164238,0.013625955623979787,0.017798252098949984,0.01358512258154321,0.04237530727518877,0.013446395634353295,0.014157840387730191,0.014514360704718152,0.015719768163402124,0.015023130314433277,0.016506732633147662,0.014739402972983665,0.014067298564006117,0.02878319339861756,0.0907390948452393,0.026386023236217734,0.01598610507770906,0.014952703211571248,0.014715826703096072,0.014529663145135567,0.0225616439511348,0.02492432992524016
SU5s1a1A2F8nf0,0.0,0.003480102169636847,0.005567764362830027,0.01433720877840437,0.0,0.01584736220602308,0.007009913614937717,0.05302017435739804,0.007266743118863895,0.007939003575876388,0.026816765071292416,0.006930207628763951,0.008020806277010663,0.006666666666666691,0.032444824959716866,0.00851306185941477,0.008789197915623485,0.007088723439378935,0.008406346808612342,0.03748666429545311,0.08434864814829247,0.029427877939124318,0.008359957469322984,0.008069145624606821,0.009195409482755827,0.008268077836541658,0.07456615258353558,0.03910846739802293
SU5s1a1A2F8nf1,0.0,0.0,0.0011666666666666624,0.013666666666666657,0.01584736220602308,0.0,0.009753916592266366,0.07435575147745987,0.008539125638299682,0.009517527690179503,0.02666093688442991,0.009597453365925327,0.009921917377424823,0.009165151389911695,0.04292791114829087,0.009370461864580413,0.009315459074988095,0.011000000000000013,0.009000000000000015,0.024924329925240154,0.09575953680385516,0.011661903789690614,0.009293067906300446,0.01010500426081609,0.009492687243932109,0.009263128821060182,0.04126338166785009,0.06371049974515801
SU5s1S1a1A1nf1,0.0,0.0,0.0067164805598699685,0.013437096247164238,0.007009913614937717,0.009753916592266366,0.0,0.01584736220602309,0.005241395064505463,0.08698802599591893,0.031772192593874,0.05608748127305732,0.04444597219596446,0.019462214102659997,0.02954093205480603,0.03126943839882287,0.027182510717166822,0.03698685952845656,0.030958753922670147,0.020360637405433948,0.038087982940088125,0.08614200162780318,0.032685793720072194,0.0447524052736585,0.041508031351374236,0.08393714579639008,0.062423508748262815,0.08443620208312441
SU6s1a1A2F8nf1,0.0,0.005467073155618909,0.010761298971571952,0.013625955623979787,0.05302017435739804,0.07435575147745987,0.01584736220602309,0.0,0.021140403654298246,0.016414763002993514,0.026078939992091533,0.014784564022430051,0.017736497211493955,0.01589898669028242,0.08081889905488965,0.01617697266006356,0.03478345711525651,0.020857319525235677,0.015092308563562357,0.09632179861738924,0.08918784795151312,0.04588754369833567,0.021236760581595297,0.020404928598530086,0.020453877654643165,0.017417264742522323,0.054710348401579595,0.08657190331998277
Sp3a3nf1,0.0,0.0,0.002260776661041748,0.017798252098949984,0.007266743118863895,0.008539125638299682,0.005241395064505463,0.021140403654298246,0.0,0.005500000000000003,0.03439799735772741,0.008981462390204998,0.007959969290839721,0.07296422258735974,0.032892501678447435,0.018709029311478935,0.0706564458017337,0.010568559241658466,0.012162099599438694,0.08365205715741046,0.0815638808950792,0.01856220772310114,0.1397447077113596,0.020510160083886873,0.033681927234382264,0.013034143197344772,0.062155941880974744,0.11497886279177094
SU6s2S2nf1,0.0,0.0,0.004725815626252612,0.01358512258154321,0.007939003575876388,0.009517527690179503,0.08698802599591893,0.016414763002993514,0.005500000000000003,0.0,0.026523050771399246,0.12190854951333167,0.08165578158750712,0.021035023703866416,0.0510775554100494,0.034999999999999996,0.0807258735887489,0.06252221827300898,0.03374084237899885,0.03644211544048696,0.04287870489337724,0.06736797788596927,0.03421987726453734,0.05506158168612464,0.07946435259494243,0.05656461398750596,0.07160772770215981,0.079115948666077
SU3nf6,0.026925824035672525,0.026812621406096547,0.026948510575210312,0.04237530727518877,0.026816765071292416,0.02666093688442991,0.031772192593874,0.026078939992091533,0.03439799735772741,0.026523050771399246,0.0,0.026854029285917014,0.026523050771399246,0.026781523481684156,0.058988934932277304,0.026810031290130525,0.02770679820308847,0.026532998322843195,0.02671298061492452,0.02628952051462501,0.05875112292071058,0.026925824035672518,0.027092434368288124,0.026934075897354345,0.02641758673476608,0.026428099523886396,0.09688323441706057,0.028025781781146522
Sp2adj1nf1,0.0,0.0,0.002260776661041748,0.013446395634353295,0.006930207628763951,0.009597453365925327,0.05608748127305732,0.014784564022430051,0.008981462390204998,0.12190854951333167,0.026854029285917014,0.0,0.05039538118165637,0.06331139971074194,0.031224989991991994,0.0507720942600909,0.061424072371234616,0.08426166256238823,0.050128723192286555,0.05571355310873647,0.06043821454822915,0.11684510164220739,0.09209430553031556,0.10074224535913423,0.06757711644237764,0.0724187283941262,0.07369701486491838,0.08935898263620608
Sp2s2a1nf1,0.0,0.0,0.003609401304617949,0.014157840387730191,0.008020806277010663,0.009921917377424823,0.04444597219596446,0.017736497211493955,0.007959969290839721,0.08165578158750712,0.026523050771399246,0.05039538118165637,0.0,0.034271789500339135,0.05808136055951551,0.04213767119019907,0.08523969471763466,0.06170291727301068,0.04427220095926763,0.0530306515140065,0.04771122625872354,0.09175465474114468,0.04444878451031529,0.048732831734764684,0.07551232423327407,0.033912059474142484,0.08322593078815974,0.10875826916198653
SU2adj1nf2,0.0,0.0,0.005166666666666672,0.014514360704718152,0.006666666666666691,0.009165151389911695,0.019462214102659997,0.01589898669028242,0.07296422258735974,0.021035023703866416,0.026781523481684156,0.06331139971074194,0.034271789500339135,0.0,0.03133554956701202,0.059397203450817275,0.11327559803907951,0.07892137437559822,0.06329911356233812,0.11660283968335515,0.06313763624900057,0.04540588557053418,0.07862516560660884,0.07630057521262718,0.06529846008053243,0.04386500756740946,0.07755374480534988,0.0835778080593168
