Score,1,2,3,4,5,6,7,8,9,10
R2 of a,0.8017754554748535,0.8304167985916138,0.8792811036109924,0.8821746110916138,0.7816612124443054,0.8623009324073792,0.842758297920227,0.7709684371948242,0.8150129914283752,0.8980655074119568
R2 of c,0.7927767038345337,0.8428725600242615,0.8825291991233826,0.8834627866744995,0.7726004123687744,0.8623127341270447,0.8696234226226807,0.7829760313034058,0.8354556560516357,0.900225818157196
RMSE of a,1.160417914390564,1.073598861694336,0.9058603048324585,0.8939048647880554,1.2190784215927124,0.9687396883964539,1.0296094417572021,1.2462929487228394,1.1193188428878784,0.832543671131134
RMSE of c,1.2636476755142212,1.0989301204681396,0.9511855840682983,0.9435378909111023,1.3201197385787964,1.0295666456222534,0.9925759434700012,1.2952609062194824,1.1194770336151123,0.8759739398956299
Error of a (%),19.407232105731964,19.794705510139465,17.178736627101898,17.288948595523834,20.810216665267944,18.601679801940918,19.233711063861847,19.960999488830566,18.457786738872528,15.936587750911713
Error of c (%),17.704974114894867,17.14240461587906,15.491080284118652,15.188512206077576,17.666584253311157,16.06999784708023,16.31041169166565,17.460815608501434,15.981042385101318,14.31543081998825
Reconstruction correlation,0.7749781608581543,0.7741841077804565,0.7751787900924683,0.7761995792388916,0.7724844217300415,0.7806301712989807,0.7727095484733582,0.7758051156997681,0.7777989506721497,0.7684364318847656
Reconstruction RMSE,55.72843551635742,43.116111755371094,28.383502960205078,34.47500991821289,54.97145462036133,49.6226692199707,30.882917404174805,46.42351531982422,51.62218475341797,33.45772933959961
