Theories,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf1,SU5s1a1A2F8nf0,Sp2s1a2nf0,Sp2s2a1nf1,Sp2s1a2nf1,Sp3a3nf1,SU6s1a1A2F8nf1,SO12s2nf1,SU2adj2nf1,SU5a3A3nf0,SU5s1S1a2A2nf1,SU7a2A2nf1,SU2adj1nf2,SU5s1S1a1A1nf1,SO5nf5,Sp2s2nf1,SU4s1S1a2A2nf1,SU2adj1nf3,Sp2adj1nf1,SU6s2S2nf1,Sp5a3nf1,Sp4a3nf0,SO5adj1nf2,SU3adj1nf4,SU3adj1nf3,SU3adj2nf2,Sp4s1a1nf1,SU3nf6,Sp2s1a1nf2,SU4adj2a1A1nf0,SU5adj1a2A2nf1,SU3adj1nf2,SU7s1S2a1f8nf0,Sp2adj1a2nf4,Sp2adj2nf2,SU4adj1a2A2nf1,SU6adj1s1A1F8nf1,SU5adj1s1A1F8nf0,SU4adj2a1A1nf1,SU8s1S2a1f8nf1
SU2nf4,0.0,0.0,0.0,0.0075000000000000075,0.006666666666666682,0.002499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017559422921421246,0.0,0.0,0.0,0.0,0.023935677693908454,0.0580289678618456,0.0,0.0,0.014813657362192645,0.01003466214899359,0.0,0.03231786571610886
SU9s2A2F16nf0,0.0,0.0,0.015456030825826169,0.00916666666666667,0.0,0.0,0.0,0.0,0.0,0.005000000000000016,0.0,0.0,0.0,0.0,0.0,0.0075000000000000075,0.0,0.0,0.043628800375694735,0.0,0.006666666666666687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017559422921421246,0.0,0.0,0.0,0.0,0.025617376914899008,0.025887040945015125,0.0,0.0,0.0,0.02838231060987734,0.0,0.021164041832000487
SU10s2A2F16nf1,0.0,0.015456030825826169,0.0,0.007637626158259741,0.0,0.0033333333333333214,0.0,0.0,0.0,0.0,0.008539125638299679,0.0,0.002499999999999991,0.0033333333333333214,0.0,0.0075000000000000075,0.0,0.002499999999999991,0.0,0.0,0.006666666666666687,0.0033333333333333214,0.0,0.005000000000000016,0.0,0.0,0.0,0.005000000000000016,0.0,0.0,0.0,0.017969882210706535,0.0,0.0,0.0,0.0,0.030287969742310416,0.026562295750848713,0.0,0.0,0.013944333775567922,0.027131367660166182,0.0,0.10782251362514436
SU4a3A3nf1,0.0075000000000000075,0.00916666666666667,0.007637626158259741,0.0,0.00527046276694728,0.011211353372561413,0.007637626158259741,0.007637626158259741,0.008539125638299666,0.016749792701868133,0.01017212967977807,0.008539125638299666,0.007637626158259741,0.016158932858054434,0.01178511301977579,0.015456030825826169,0.011211353372561413,0.008539125638299666,0.012801909579781003,0.007637626158259741,0.007637626158259741,0.007637626158259741,0.008539125638299666,0.008539125638299666,0.01600781059358213,0.01929306150465038,0.008539125638299666,0.018181186857726187,0.011055415967851317,0.008539125638299666,0.008539125638299666,0.02211083193570267,0.009718253158075485,0.008539125638299666,0.018276426832884426,0.008374896350934084,0.0167705098312484,0.06034622330077223,0.007637626158259741,0.01017212967977807,0.015478479684172269,0.010671873729054746,0.008539125638299666,0.05374838498865701
SU5s1a1A2F8nf1,0.006666666666666682,0.0,0.0,0.00527046276694728,0.0,0.02212653007891956,0.0065085413965888924,0.006922186552431742,0.00745355992499931,0.009279607271383382,0.033176715395657294,0.012388390622765425,0.010833333333333334,0.01040832999733067,0.013667682889047275,0.010573814617041275,0.006236095644623253,0.010833333333333342,0.008333333333333349,0.011055415967851343,0.015723301886761017,0.014337208778404395,0.008498365855987986,0.010833333333333342,0.008539125638299679,0.00849836585598799,0.010000000000000009,0.0066666666666666905,0.008539125638299679,0.014813657362192645,0.01057381461704126,0.017559422921421246,0.015275252316519477,0.007264831572567807,0.01455354099714416,0.008539125638299679,0.020682789409984758,0.0566421515598881,0.015898986690282436,0.008539125638299679,0.03800584750330461,0.0683180877301986,0.011055415967851335,0.041028445416970566
SU5s1a1A2F8nf0,0.002499999999999991,0.0,0.0033333333333333214,0.011211353372561413,0.02212653007891956,0.0,0.002499999999999991,0.005335936864527384,0.005335936864527384,0.012360330811826106,0.03316624790355399,0.004082482904638616,0.002499999999999991,0.027888667551135858,0.006922186552431733,0.025289984842489167,0.008498365855987986,0.0058333333333333475,0.006922186552431733,0.005527707983925673,0.011666666666666676,0.009166666666666684,0.002499999999999991,0.006666666666666682,0.020564937798755102,0.006922186552431741,0.0065085413965888924,0.018047006523089756,0.013540064007726598,0.0055901699437494795,0.008164965809277279,0.017559422921421246,0.008498365855987995,0.007637626158259736,0.023584952830141493,0.008333333333333349,0.02539958442354696,0.052678268764263715,0.013333333333333336,0.02334820954353651,0.03338537604001688,0.04479118216792231,0.007861650943380519,0.05294126724756199
Sp2s1a2nf0,0.0,0.0,0.0,0.007637626158259741,0.0065085413965888924,0.002499999999999991,0.0,0.029825883613622123,0.10308100913574936,0.008333333333333349,0.011211353372561433,0.0076829537144107425,0.0280004960273524,0.012909944487358053,0.03167762968124702,0.01699673171197596,0.026140645235596848,0.0033333333333333214,0.02527625148017184,0.01181453906563152,0.020155644370746375,0.025055493963954838,0.025671536334582263,0.005335936864527384,0.0,0.017400510848184256,0.01892969448600091,0.014930394055974107,0.026299556396765806,0.010671873729054752,0.010172129679778086,0.017559422921421246,0.0172602626476733,0.026990224567836087,0.013540064007726605,0.04437842318564781,0.03370624736026114,0.031180478223116186,0.017179606773406925,0.04643543905251677,0.0213437474581095,0.019166666666666683,0.02114762923408254,0.06521332515504617
Sp2s2a1nf1,0.0,0.0,0.0,0.007637626158259741,0.006922186552431742,0.005335936864527384,0.029825883613622123,0.0,0.042532667183916156,0.00745355992499931,0.011785113019775797,0.006236095644623249,0.03709035514044648,0.005335936864527384,0.02273030282830977,0.05530220007679018,0.01674979270186816,0.01261062162535129,0.028975564417856176,0.028185890875479604,0.00849836585598798,0.025873624493766696,0.026666666666666658,0.010408329997330667,0.0,0.007453559924999309,0.006922186552431734,0.011814539065631522,0.009464847243000465,0.0931844049899624,0.02206367049145622,0.017559422921421246,0.030057814661452385,0.03535533905932737,0.009166666666666674,0.03492054473292827,0.041965594373380564,0.030607279453678273,0.08351646544245032,0.03652434500135188,0.028577380332470412,0.03465103814381966,0.09926465746791362,0.08890147480341495
Sp2s1a2nf1,0.0,0.0,0.0,0.008539125638299666,0.00745355992499931,0.005335936864527384,0.10308100913574936,0.042532667183916156,0.0,0.00745355992499931,0.020344259359556173,0.0062360956446232485,0.01600781059358213,0.01668748699541733,0.031001792062897143,0.015000000000000006,0.019166666666666676,0.0055901699437494795,0.04536885862938731,0.014930394055974114,0.018929694486000893,0.021794494717703356,0.0139692121785335,0.010833333333333339,0.033634060117684286,0.05346338310781812,0.009316949906249134,0.021164041832000484,0.030150087525209236,0.029592134840941163,0.012936812246883351,0.017559422921421246,0.042295258468165065,0.02583333333333333,0.0661227814162579,0.031677629681247016,0.027246304540453004,0.041197356981027604,0.01880085695446413,0.1342572158209755,0.035394600969325514,0.04269562819149833,0.03396280645385806,0.0659545297913646
Sp3a3nf1,0.0,0.005000000000000016,0.0,0.016749792701868133,0.009279607271383382,0.012360330811826106,0.008333333333333349,0.00745355992499931,0.00745355992499931,0.0,0.01870828693386971,0.005335936864527377,0.00816496580927727,0.017658016750347578,0.008164965809277279,0.008975274678557493,0.007637626158259754,0.007861650943380512,0.031852524756027324,0.007861650943380519,0.005833333333333348,0.008164965809277279,0.007861650943380519,0.008333333333333349,0.04000867961385936,0.10426994879744703,0.007861650943380519,0.10051602967796838,0.02477678124553085,0.008164965809277279,0.008374896350934096,0.021746647251166498,0.010408329997330667,0.007861650943380519,0.029860788111948183,0.013844373104863472,0.026562295750848716,0.06708721520859577,0.007637626158259752,0.01827642683288442,0.03636237371545238,0.0965228815704684,0.008164965809277279,0.04913134324327891
SU6s1a1A2F8nf1,0.0,0.0,0.008539125638299679,0.01017212967977807,0.033176715395657294,0.03316624790355399,0.011211353372561433,0.011785113019775797,0.020344259359556173,0.01870828693386971,0.0,0.01280190957978102,0.009718253158075509,0.021098314835286926,0.013969212178533507,0.013969212178533507,0.016007810593582132,0.017795130420052197,0.013333333333333324,0.01538848776051617,0.012388390622765397,0.02533114025595109,0.019649710204252675,0.01717960677340693,0.019094065395649312,0.017098570440569328,0.016244657241348274,0.03617089069035118,0.01511529762268089,0.015478479684172266,0.021666666666666657,0.015723301886760993,0.012388390622765415,0.019436506316151004,0.04190763653560053,0.016266017746619284,0.03128054063187243,0.06403666484479374,0.020497289793748062,0.022988523706889523,0.030833333333333345,0.08364940060886403,0.02450906861642125,0.047842333648024434
SO12s2nf1,0.0,0.0,0.0,0.008539125638299666,0.012388390622765425,0.004082482904638616,0.0076829537144107425,0.006236095644623249,0.0062360956446232485,0.005335936864527377,0.01280190957978102,0.0,0.03716517186829626,0.012247448713915896,0.04661455423648999,0.0418661889569349,0.009166666666666682,0.038014982426523486,0.038042374035044416,0.028577380332470433,0.03060727945367825,0.02166666666666667,0.026470633623780982,0.0606045927852557,0.006718548123582142,0.011931517552730293,0.012360330811826092,0.019790570145063194,0.00931694990624912,0.07516648189186455,0.030322342331100417,0.017559422921421246,0.017260262647673323,0.02790111507130535,0.008498365855987972,0.03962497809322914,0.054873592110514416,0.026990224567836087,0.032585357993361916,0.028625940062196098,0.030731814857642956,0.022189211592823922,0.1180983582537125,0.10341394704992381
