Charge,Minimal gap,Maximal gap,Mean gap,Stdev gap,Median gap,1st quartile gap,3rd quartile gap,Sum of absolute coefficients,Log of sum of absolute coefficients,Mean dimension,Stdev dimension,Minimal dimension,Maximal dimension,Median dimension,1st quartile dimension,3rd quartile dimension
a,0.0018225917614441696,0.00223510618908828,0.00020751932194304997,0.0007279579450464584,0.0002676654757293622,0.00023371194626294468,0.00040926739277561335,0.9765947870676044,0.009192197626669238,0.0037231014024054175,0.0004277378707302483,0.004265845086894665,0.002322493262200725,0.004190830797856506,0.0064659446330660505,0.002300974770418899
c,0.0010620115773736258,0.001990330229607101,0.0003232824389562319,0.0009435066246214439,0.001254073146819176,0.0004903385126654314,0.0004964922561741029,0.5135361247831921,0.01656601203001224,0.0034253722857147295,0.000303563160398931,0.0029512079667343787,0.001331409228132685,0.003556695031097724,0.004329485902383618,0.0021036675712997996
a - c,0.0007605801840705438,0.000244775959481179,-0.00011576311701318195,-0.00021554867957498545,-0.0009864076710898138,-0.0002566265664024867,-8.722486339848959e-05,0.4630586622844123,-0.0073738144033430025,0.000297729116690688,0.00012417471033131732,0.0013146371201602862,0.0009910840340680398,0.000634135766758782,0.002136458730682433,0.00019730719911909955
