Score,1,2,3,4,5,6,7,8,9,10
R2,0.9418267607688904,0.9517344832420349,0.9674575924873352,0.9482836127281189,0.9491112232208252,0.9384880065917969,0.9450147747993469,0.9598565101623535,0.9514992237091064,0.9492475986480713
RMSE,0.6258271336555481,0.5698841214179993,0.4708416163921356,0.591407299041748,0.5875767469406128,0.6455935835838318,0.6111716628074646,0.5232032537460327,0.5726773738861084,0.5854986310005188
Error,8.124535530805588%,8.296197652816772%,7.55218118429184%,9.158946573734283%,8.037272095680237%,8.525870740413666%,9.362341463565826%,7.623554766178131%,7.723432779312134%,7.984498143196106%
