Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5
SU2nf4,0.0,0.0016329931618554463,0.016011280745496636,0.023935097428021652,0.0011666666666666624,0.007073031724640987,0.0011666666666666624,0.032457236823584076,0.008301606270274865,0.0011666666666666624,0.0023333333333333405,0.06216018732990507,0.0921998132078127,0.024237826268504823,0.0011666666666666624,0.0011666666666666624,0.003929942040850527,0.00401732359773131,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.021396391180653694,0.0011666666666666624,0.0011666666666666624,0.0
SU2adj1nf2,0.0016329931618554463,0.0,0.0072953562094130965,0.016935334527417988,0.12170958147254562,0.005166666666666663,0.034607320998116385,0.006333333333333336,0.002499999999999991,0.005044248650140518,0.0011666666666666624,0.04484820075667598,0.04286315434029558,0.024968869506736668,0.0011666666666666624,0.060811411575277356,0.011709445380166862,0.02077926316734493,0.012631530214330947,0.05503559454268362,0.039072937494440386,0.008634555897992424,0.011382247385975925,0.014803340463857787,0.010473511562243321,0.06014542561344314,0.008945824600213108,0.0
SU6s1a1A2F8nf1,0.016011280745496636,0.0072953562094130965,0.0,0.08981601564680247,0.006454972243679033,0.03329164059239696,0.01146976702272351,0.016275407487644937,0.04570466788706233,0.007120003121097949,0.020965580258021844,0.07553310532475148,0.04083333333333334,0.08383863468990098,0.02290317784840251,0.005537749241945391,0.02446142087269486,0.12424617141429796,0.004412734098291246,0.005079916884709395,0.00781735959970572,0.005220153254455278,0.008164965809277265,0.004913134324327898,0.03890908205890582,0.007380529941828184,0.004412734098291246,0.011066716867356026
SU6adj1s1A1F8nf1,0.023935097428021652,0.016935334527417988,0.08981601564680247,0.0,0.023051271355634832,0.04216501973068302,0.03621540494810952,0.0195142398149545,0.07657984214022788,0.033948081274531874,0.04240708798197668,0.048228622207149976,0.04120578438358703,0.06690561344992745,0.03861095123867781,0.017578395831246946,0.03244653722321965,0.07600822323933115,0.015180396715647606,0.01688276570286331,0.02922898105191717,0.025959904981849743,0.030092450142112977,0.008820745748266171,0.03250683688771401,0.034450044347657305,0.0084672571972537,0.019428644374279484
SU3adj1nf2,0.0011666666666666624,0.12170958147254562,0.006454972243679033,0.023051271355634832,0.0,0.006413960468297943,0.04867237409455183,0.007637626158259737,0.002260776661041748,0.01183685393637648,0.0,0.042630192743328445,0.035000396823147276,0.02394959985747848,0.0,0.05275230379382075,0.03851406669430448,0.02599412326747037,0.023489950569930487,0.05845915002993306,0.040683056806379625,0.016094339929856635,0.0812658531542547,0.015878007151752728,0.010252370999486475,0.05251163892150218,0.02557613905359619,0.0
SU5s1a1A2F8nf0,0.007073031724640987,0.005166666666666663,0.03329164059239696,0.04216501973068302,0.006413960468297943,0.0,0.023984369910422916,0.009568466729604886,0.03480142078836565,0.0034520525295346507,0.006066758241067105,0.08860978752059191,0.04161196409153929,0.041545156155681974,0.004818944098266995,0.0027080128015453103,0.02545420724883545,0.07204859471218018,0.0,0.0016329931618554463,0.013333333333333338,0.003337497399083463,0.008820745748266171,0.0,0.02042329824272052,0.007571877794400382,0.0019790570145063126,0.002260776661041748
SU3adj1nf3,0.0011666666666666624,0.034607320998116385,0.01146976702272351,0.03621540494810952,0.04867237409455183,0.023984369910422916,0.0,0.007859884081701067,0.016800297616411445,0.01062491830033949,0.0011666666666666624,0.09853031118504713,0.03770094310638808,0.028977481678787144,0.0,0.045825756949558406,0.02605336403955885,0.04886745110784659,0.019365633936893927,0.028333823525171397,0.029403797940628914,0.010806376718298228,0.049772817213146914,0.01819951159295826,0.01234233905438242,0.03530856049804982,0.01856220772310114,0.0
SU3nf6,0.032457236823584076,0.006333333333333336,0.016275407487644937,0.0195142398149545,0.007637626158259737,0.009568466729604886,0.007859884081701067,0.0,0.009050782654923652,0.005965176722724427,0.007470311610338323,0.048045406763926046,0.07123903424387504,0.016039014932345445,0.007408703590297622,0.005965176722724427,0.007797791710193058,0.009895285072531597,0.005965176722724427,0.0062915286960589616,0.007859884081701067,0.005906681715556453,0.0076175965880176276,0.005906681715556453,0.01896561215580568,0.0076757192931129715,0.005906681715556453,0.06618576550554928
SU5s1a1A2F8nf1,0.008301606270274865,0.002499999999999991,0.04570466788706233,0.07657984214022788,0.002260776661041748,0.03480142078836565,0.016800297616411445,0.009050782654923652,0.0,0.0032015621187164132,0.002808716591058789,0.10550000000000001,0.045651153082674464,0.1212568440221921,0.0,0.0016329931618554463,0.02961840643923978,0.03573863455701686,0.0011666666666666624,0.0011666666666666624,0.004841946348777985,0.002260776661041748,0.002260776661041748,0.0011666666666666624,0.013985111130532111,0.0046218082079540175,0.0011666666666666624,0.0016329931618554463
SU6s2S2nf1,0.0011666666666666624,0.005044248650140518,0.007120003121097949,0.033948081274531874,0.01183685393637648,0.0034520525295346507,0.01062491830033949,0.005965176722724427,0.0032015621187164132,0.0,0.0,0.05334479043605539,0.036891733491393436,0.02308438625757438,0.0,0.010446955962809886,0.04448002048360839,0.021518080253075042,0.0077531355664086825,0.011025223605694166,0.010974718422102896,0.04217819341792628,0.022745573439926964,0.014318791072495535,0.009626352718795774,0.012437622137870431,0.01318247995552347,0.0
