Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,SU3nf5,SU5adj1a2A2nf1,SU2nf5,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,0.9996666666666667,0.9976666666666667,0.9948333333333333,1.0,0.9981666666666666,0.9996666666666667,0.8830000000000001,1.0,1.0,0.9663333333333334,0.9831666666666666,0.8578333333333333,0.9485000000000001,1.0,1.0,0.9993333333333334,0.9991666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,1.0,0.9883333333333334,1.0,1.0
SU2adj1nf2,0.9996666666666667,0.0,0.9623333333333334,0.8571666666666666,0.6453333333333333,0.6606666666666667,0.9871666666666666,0.8813333333333333,0.9898333333333333,0.9663333333333334,0.9961666666666666,0.8229999999999998,0.8296666666666668,0.7575,1.0,0.6519999999999999,0.8848333333333332,0.7768333333333334,0.6516666666666666,0.7418333333333332,0.6346666666666667,0.9713333333333334,0.7730000000000001,0.9146666666666667,0.9371666666666667,0.6858333333333333,0.8256666666666668,0.995,0.8604999999999999,0.9328333333333334,0.9460000000000001,0.9643333333333334
SU6s1a1A2F8nf1,0.9976666666666667,0.9623333333333334,0.0,0.7855000000000001,0.9528333333333333,0.9430000000000001,0.9011666666666666,0.8791666666666668,0.8373333333333334,0.9790000000000001,0.9903333333333335,0.7321666666666666,0.7796666666666665,0.7343333333333334,0.9998333333333334,0.9641666666666667,0.9219999999999999,0.799,0.9616666666666667,0.9676666666666668,0.9515000000000002,0.9758333333333334,0.9530000000000001,0.9576666666666668,0.8976666666666665,0.9451666666666667,0.9530000000000001,0.9670000000000001,0.9061666666666666,0.9348333333333335,0.9428333333333334,0.9643333333333335
SU6adj1s1A1F8nf1,0.9948333333333333,0.8571666666666666,0.7855000000000001,0.0,0.8421666666666667,0.8363333333333334,0.9119999999999999,0.8824999999999998,0.8941666666666667,0.8858333333333335,0.9925,0.6216666666666667,0.813,0.674,0.9958333333333332,0.8736666666666666,0.6940000000000001,0.7416666666666666,0.8708333333333335,0.8923333333333333,0.8363333333333334,0.9376666666666665,0.7126666666666667,0.7744999999999999,0.8180000000000001,0.8403333333333335,0.8645000000000002,0.9740000000000001,0.8256666666666668,0.8899999999999999,0.8525000000000001,0.9399999999999998
SU3adj1nf2,1.0,0.6453333333333333,0.9528333333333333,0.8421666666666667,0.0,0.6186666666666667,0.9846666666666667,0.882,0.9890000000000001,0.7976666666666666,0.9995,0.7895,0.8501666666666666,0.7063333333333334,1.0,0.585,0.7660000000000001,0.8024999999999999,0.5543333333333333,0.6598333333333332,0.6555000000000001,0.9013333333333332,0.6375,0.7798333333333334,0.9291666666666667,0.575,0.5768333333333333,0.9971666666666666,0.6628333333333333,0.931,0.9300000000000002,0.9618333333333333
SU3adj1nf3,0.9981666666666666,0.6606666666666667,0.9430000000000001,0.8363333333333334,0.6186666666666667,0.0,0.9845,0.8815000000000001,0.9896666666666667,0.9481666666666668,0.9991666666666668,0.7666666666666667,0.7739999999999999,0.608,0.9991666666666665,0.7804999999999999,0.6355000000000001,0.6555000000000001,0.7396666666666666,0.8376666666666667,0.5686666666666667,0.9545,0.7559999999999999,0.8638333333333335,0.8885000000000001,0.5726666666666667,0.7164999999999999,0.9751666666666666,0.7686666666666667,0.9380000000000002,0.7798333333333334,0.9601666666666668
SU5s1a1A2F8nf0,0.9996666666666667,0.9871666666666666,0.9011666666666666,0.9119999999999999,0.9846666666666667,0.9845,0.0,0.8830000000000001,0.9703333333333333,0.9891666666666667,0.995,0.804,0.8536666666666668,0.8191666666666667,0.9998333333333334,0.99,0.9851666666666667,0.9338333333333334,0.9891666666666669,0.9905000000000002,0.986,0.9905000000000002,0.9851666666666667,0.9855000000000002,0.9620000000000001,0.9853333333333335,0.9871666666666666,0.9895,0.9335,0.9766666666666666,0.9863333333333335,0.9663333333333334
SU3nf6,0.8830000000000001,0.8813333333333333,0.8791666666666668,0.8824999999999998,0.882,0.8815000000000001,0.8830000000000001,0.0,0.8831666666666667,0.8868333333333334,0.8815000000000001,0.8364999999999999,0.5691666666666666,0.8621666666666665,0.8841666666666668,0.8831666666666667,0.8796666666666667,0.8803333333333333,0.8830000000000001,0.8826666666666667,0.8826666666666667,0.8833333333333334,0.8831666666666667,0.8831666666666667,0.8683333333333332,0.8828333333333334,0.8831666666666667,0.9575,0.8826666666666667,0.9621666666666667,0.8716666666666667,0.9776666666666667
SU5s1a1A2F8nf1,1.0,0.9898333333333333,0.8373333333333334,0.8941666666666667,0.9890000000000001,0.9896666666666667,0.9703333333333333,0.8831666666666667,0.0,0.9891666666666665,0.9998333333333334,0.7376666666666667,0.735,0.8368333333333332,1.0,0.9891666666666667,0.9896666666666668,0.981,0.9896666666666667,0.9898333333333333,0.9901666666666666,0.9893333333333334,0.9888333333333335,0.9880000000000001,0.9686666666666668,0.9896666666666667,0.9893333333333334,0.9478333333333333,0.9880000000000001,0.9421666666666667,0.9916666666666667,0.9698333333333333
SU6s2S2nf1,1.0,0.9663333333333334,0.9790000000000001,0.8858333333333335,0.7976666666666666,0.9481666666666668,0.9891666666666667,0.8868333333333334,0.9891666666666665,0.0,0.9991666666666668,0.9118333333333334,0.9129999999999999,0.8569999999999999,1.0,0.9081666666666668,0.9074999999999999,0.972,0.8818333333333334,0.8411666666666667,0.8983333333333333,0.7178333333333334,0.5876666666666667,0.6465,0.9763333333333334,0.9276666666666665,0.8714999999999999,1.0,0.8636666666666666,0.932,0.9961666666666666,0.9704999999999999
SU10s2A2F16nf1,0.9663333333333334,0.9961666666666666,0.9903333333333335,0.9925,0.9995,0.9991666666666668,0.995,0.8815000000000001,0.9998333333333334,0.9991666666666668,0.0,0.8168333333333332,0.9329999999999999,0.9434999999999999,0.9553333333333334,0.9995,0.9875000000000002,0.9981666666666668,0.9995,0.9995,0.9995,0.9963333333333334,0.9993333333333334,0.9981666666666668,1.0,0.9995,0.9986666666666667,0.997,0.9993333333333334,0.9966666666666668,0.9995,0.9720000000000002
SU8s1S2a1f8nf1,0.9831666666666666,0.8229999999999998,0.7321666666666666,0.6216666666666667,0.7895,0.7666666666666667,0.804,0.8364999999999999,0.7376666666666667,0.9118333333333334,0.8168333333333332,0.0,0.7490000000000001,0.5694999999999999,0.9833333333333334,0.8346666666666666,0.6228333333333333,0.679,0.8233333333333335,0.8594999999999999,0.7509999999999999,0.9403333333333334,0.767,0.8465,0.7158333333333334,0.7808333333333333,0.8016666666666667,0.9546666666666667,0.7643333333333334,0.7921666666666667,0.7935000000000001,0.9458333333333334
Sp2adj1a2nf4,0.8578333333333333,0.8296666666666668,0.7796666666666665,0.813,0.8501666666666666,0.7739999999999999,0.8536666666666668,0.5691666666666666,0.735,0.9129999999999999,0.9329999999999999,0.7490000000000001,0.0,0.7308333333333333,0.9621666666666667,0.8751666666666668,0.8103333333333333,0.7014999999999999,0.8745,0.8943333333333334,0.8493333333333334,0.9268333333333332,0.8766666666666667,0.9003333333333333,0.6585000000000001,0.7925,0.8723333333333333,0.8855,0.8216666666666668,0.8661666666666666,0.7156666666666668,0.8371666666666668
SU5adj1s1A1F8nf0,0.9485000000000001,0.7575,0.7343333333333334,0.674,0.7063333333333334,0.608,0.8191666666666667,0.8621666666666665,0.8368333333333332,0.8569999999999999,0.9434999999999999,0.5694999999999999,0.7308333333333333,0.0,0.9363333333333334,0.7341666666666665,0.5693333333333332,0.5518333333333334,0.7788333333333333,0.8025,0.6561666666666666,0.8673333333333333,0.6456666666666666,0.7605,0.6998333333333333,0.6053333333333333,0.6798333333333333,0.9805000000000001,0.6875000000000001,0.8876666666666665,0.6746666666666665,0.9356666666666666
SU9s2A2F16nf0,1.0,1.0,0.9998333333333334,0.9958333333333332,1.0,0.9991666666666665,0.9998333333333334,0.8841666666666668,1.0,1.0,0.9553333333333334,0.9833333333333334,0.9621666666666667,0.9363333333333334,0.0,1.0,0.9993333333333334,0.9973333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.9981666666666666,1.0,1.0,0.9078333333333333,1.0,0.9945,1.0,0.9741666666666667
SO5adj1nf2,1.0,0.6519999999999999,0.9641666666666667,0.8736666666666666,0.585,0.7804999999999999,0.99,0.8831666666666667,0.9891666666666667,0.9081666666666668,0.9995,0.8346666666666666,0.8751666666666668,0.7341666666666665,1.0,0.0,0.9273333333333333,0.9003333333333332,0.5306666666666667,0.5835,0.8056666666666668,0.9373333333333334,0.694,0.8320000000000001,0.9591666666666667,0.7641666666666665,0.7071666666666668,0.995,0.7635000000000001,0.9303333333333335,0.9860000000000001,0.9680000000000001
SU7a2A2nf1,0.9993333333333334,0.8848333333333332,0.9219999999999999,0.6940000000000001,0.7660000000000001,0.6355000000000001,0.9851666666666667,0.8796666666666667,0.9896666666666668,0.9074999999999999,0.9875000000000002,0.6228333333333333,0.8103333333333333,0.5693333333333332,0.9993333333333334,0.9273333333333333,0.0,0.5725,0.9375,0.9536666666666666,0.6113333333333333,0.9886666666666667,0.6813333333333332,0.8453333333333335,0.7663333333333333,0.6748333333333334,0.9331666666666666,0.988,0.8218333333333334,0.9488333333333335,0.754,0.9608333333333334
SU3adj1nf4,0.9991666666666668,0.7768333333333334,0.799,0.7416666666666666,0.8024999999999999,0.6555000000000001,0.9338333333333334,0.8803333333333333,0.981,0.972,0.9981666666666668,0.679,0.7014999999999999,0.5518333333333334,0.9973333333333332,0.9003333333333332,0.5725,0.0,0.8835,0.9123333333333333,0.6573333333333332,0.971,0.878,0.9218333333333333,0.6699999999999998,0.69,0.8761666666666666,0.9670000000000001,0.7148333333333333,0.931,0.5923333333333334,0.9505000000000001
Sp2s1a2nf0,1.0,0.6516666666666666,0.9616666666666667,0.8708333333333335,0.5543333333333333,0.7396666666666666,0.9891666666666669,0.8830000000000001,0.9896666666666667,0.8818333333333334,0.9995,0.8233333333333335,0.8745,0.7788333333333333,1.0,0.5306666666666667,0.9375,0.8835,0.0,0.5698333333333333,0.7956666666666667,0.9078333333333333,0.6706666666666666,0.8043333333333333,0.9618333333333333,0.7484999999999999,0.674,0.995,0.727,0.9296666666666669,0.9868333333333332,0.9685000000000001
Sp2adj1nf1,1.0,0.7418333333333332,0.9676666666666668,0.8923333333333333,0.6598333333333332,0.8376666666666667,0.9905000000000002,0.8826666666666667,0.9898333333333333,0.8411666666666667,0.9995,0.8594999999999999,0.8943333333333334,0.8025,1.0,0.5835,0.9536666666666666,0.9123333333333333,0.5698333333333333,0.0,0.8003333333333335,0.9021666666666666,0.6761666666666667,0.8306666666666667,0.9638333333333334,0.7985,0.6855000000000001,1.0,0.795,0.9293333333333336,0.9906666666666668,0.9666666666666667
SU5adj1nf2,1.0,0.6346666666666667,0.9515000000000002,0.8363333333333334,0.6555000000000001,0.5686666666666667,0.986,0.8826666666666667,0.9901666666666666,0.8983333333333333,0.9995,0.7509999999999999,0.8493333333333334,0.6561666666666666,1.0,0.8056666666666668,0.6113333333333333,0.6573333333333332,0.7956666666666667,0.8003333333333335,0.0,0.9281666666666666,0.7548333333333335,0.8698333333333332,0.9056666666666666,0.6196666666666666,0.8465,0.9943333333333334,0.8115000000000002,0.9308333333333334,0.9063333333333334,0.9633333333333334
SU5s1S1a1A1nf1,1.0,0.9713333333333334,0.9758333333333334,0.9376666666666665,0.9013333333333332,0.9545,0.9905000000000002,0.8833333333333334,0.9893333333333334,0.7178333333333334,0.9963333333333334,0.9403333333333334,0.9268333333333332,0.8673333333333333,1.0,0.9373333333333334,0.9886666666666667,0.971,0.9078333333333333,0.9021666666666666,0.9281666666666666,0.0,0.7288333333333332,0.7841666666666669,0.9858333333333333,0.938,0.9061666666666666,1.0,0.8480000000000001,0.9323333333333335,0.9961666666666668,0.9703333333333335
SU4adj2a1A1nf1,1.0,0.7730000000000001,0.9530000000000001,0.7126666666666667,0.6375,0.7559999999999999,0.9851666666666667,0.8831666666666667,0.9888333333333335,0.5876666666666667,0.9993333333333334,0.767,0.8766666666666667,0.6456666666666666,1.0,0.694,0.6813333333333332,0.878,0.6706666666666666,0.6761666666666667,0.7548333333333335,0.7288333333333332,0.0,0.5698333333333333,0.963,0.6774999999999999,0.6780000000000002,1.0,0.6021666666666667,0.9303333333333335,0.99,0.9673333333333335
Sp2s2a1nf1,1.0,0.9146666666666667,0.9576666666666668,0.7744999999999999,0.7798333333333334,0.8638333333333335,0.9855000000000002,0.8831666666666667,0.9880000000000001,0.6465,0.9981666666666668,0.8465,0.9003333333333333,0.7605,1.0,0.8320000000000001,0.8453333333333335,0.9218333333333333,0.8043333333333333,0.8306666666666667,0.8698333333333332,0.7841666666666669,0.5698333333333333,0.0,0.971,0.8241666666666667,0.8103333333333333,0.9971666666666666,0.6593333333333333,0.9295,0.9915,0.9698333333333333
SU5adj1nf4,1.0,0.9371666666666667,0.8976666666666665,0.8180000000000001,0.9291666666666667,0.8885000000000001,0.9620000000000001,0.8683333333333332,0.9686666666666668,0.9763333333333334,1.0,0.7158333333333334,0.6585000000000001,0.6998333333333333,0.9981666666666666,0.9591666666666667,0.7663333333333333,0.6699999999999998,0.9618333333333333,0.9638333333333334,0.9056666666666666,0.9858333333333333,0.963,0.971,0.0,0.929,0.9608333333333334,0.9561666666666667,0.8989999999999999,0.9285,0.7345,0.9291666666666666
Sp2s1a1nf2,1.0,0.6858333333333333,0.9451666666666667,0.8403333333333335,0.575,0.5726666666666667,0.9853333333333335,0.8828333333333334,0.9896666666666667,0.9276666666666665,0.9995,0.7808333333333333,0.7925,0.6053333333333333,1.0,0.7641666666666665,0.6748333333333334,0.69,0.7484999999999999,0.7985,0.6196666666666666,0.938,0.6774999999999999,0.8241666666666667,0.929,0.0,0.5726666666666667,0.9943333333333334,0.6880000000000002,0.9385000000000001,0.9713333333333334,0.9623333333333334
Sp2s1a2nf1,1.0,0.8256666666666668,0.9530000000000001,0.8645000000000002,0.5768333333333333,0.7164999999999999,0.9871666666666666,0.8831666666666667,0.9893333333333334,0.8714999999999999,0.9986666666666667,0.8016666666666667,0.8723333333333333,0.6798333333333333,1.0,0.7071666666666668,0.9331666666666666,0.8761666666666666,0.674,0.6855000000000001,0.8465,0.9061666666666666,0.6780000000000002,0.8103333333333333,0.9608333333333334,0.5726666666666667,0.0,0.9971666666666666,0.6518333333333334,0.9306666666666668,0.9911666666666668,0.9683333333333334
SU3nf5,0.996,0.995,0.9670000000000001,0.9740000000000001,0.9971666666666666,0.9751666666666666,0.9895,0.9575,0.9478333333333333,1.0,0.997,0.9546666666666667,0.8855,0.9805000000000001,0.9078333333333333,0.995,0.988,0.9670000000000001,0.995,1.0,0.9943333333333334,1.0,1.0,0.9971666666666666,0.9561666666666667,0.9943333333333334,0.9971666666666666,0.0,0.9386666666666668,0.8883333333333333,0.8941666666666666,0.9221666666666666
SU5adj1a2A2nf1,1.0,0.8604999999999999,0.9061666666666666,0.8256666666666668,0.6628333333333333,0.7686666666666667,0.9335,0.8826666666666667,0.9880000000000001,0.8636666666666666,0.9993333333333334,0.7643333333333334,0.8216666666666668,0.6875000000000001,1.0,0.7635000000000001,0.8218333333333334,0.7148333333333333,0.727,0.795,0.8115000000000002,0.8480000000000001,0.6021666666666667,0.6593333333333333,0.8989999999999999,0.6880000000000002,0.6518333333333334,0.9386666666666668,0.0,0.9300000000000002,0.9283333333333331,0.9161666666666668
