Theory1,Theory2,Dual,Order
Sp2nf5,SU2nf5,Seiberg,7
SU3nf5,SU2nf5,Seiberg,2
SU2nf5,Sp2nf5,Seiberg,5
SU2nf5,SU3nf5,Seiberg,1
SU3adj1nf4,SU5adj1nf4,Kutasov,1
SU5adj1nf4,SU3adj1nf4,Kutasov,1
SU5adj1nf2,SU3adj1nf2,Kutasov,2
SU3adj1nf2,SU5adj1nf2,Kutasov,2
