Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,Sp2nf5,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,0.0,0.0011666666666666624,0.0,0.02234141644768498,0.0011666666666666624,0.0011666666666666624,0.0,0.0,0.06875802983409769,0.0,0.0011666666666666624
SU2adj1nf2,0.0,0.0,0.06274928065103394,0.06812243878977518,0.022666666666666672,0.04442096602081299,0.05711003025349887,0.018685258598394858,0.016485684025170984,0.06766256145182668,0.00394757309410899,0.05004331457181203
SU3adj1nf2,0.0011666666666666624,0.06274928065103394,0.0,0.07909646009778187,0.0223606797749979,0.05015559124697199,0.048383881613611776,0.020729072445347003,0.017188497445804984,0.06708224636800544,0.004714045207910312,0.04046981042154208
SU3adj1nf3,0.0,0.06812243878977518,0.07909646009778187,0.0,0.023072349974229616,0.0961539564101932,0.03435274532131473,0.025768197453450253,0.01615893285805443,0.06846815967213439,0.003999999999999986,0.10580708335876615
SU3nf6,0.02234141644768498,0.022666666666666672,0.0223606797749979,0.023072349974229616,0.0,0.02310844001658269,0.023109041039770083,0.025854292572887093,0.006726812023536863,0.10762860524352559,0.05153882032022076,0.02425329301810834
SU3adj1nf4,0.0011666666666666624,0.04442096602081299,0.05015559124697199,0.0961539564101932,0.02310844001658269,0.0,0.07819136070493268,0.07260700915047924,0.0070730317246409866,0.07556013058044125,0.003999999999999986,0.15505232091852808
SU5adj1nf2,0.0011666666666666624,0.05711003025349887,0.048383881613611776,0.03435274532131473,0.023109041039770083,0.07819136070493268,0.0,0.026399179280172075,0.01691564036295667,0.06728546153020974,0.00394757309410899,0.10512439721058517
SU5adj1nf4,0.0,0.018685258598394858,0.020729072445347003,0.025768197453450253,0.025854292572887093,0.07260700915047924,0.026399179280172075,0.0,0.0011666666666666624,0.08726412652274573,0.008545629162196196,0.026386023236217727
Sp2nf5,0.0,0.016485684025170984,0.017188497445804984,0.01615893285805443,0.006726812023536863,0.0070730317246409866,0.01691564036295667,0.0011666666666666624,0.0,0.06426096966450336,0.015867506980549204,0.013208793367383037
SU3nf5,0.06875802983409769,0.06766256145182668,0.06708224636800544,0.06846815967213439,0.10762860524352559,0.07556013058044125,0.06728546153020974,0.08726412652274573,0.06426096966450336,0.0,0.028005951748393307,0.05435582356616038
SU2nf5,0.0,0.00394757309410899,0.004714045207910312,0.003999999999999986,0.05153882032022076,0.003999999999999986,0.00394757309410899,0.008545629162196196,0.015867506980549204,0.028005951748393307,0.0,0.017009801096230754
SO5nf5,0.0011666666666666624,0.05004331457181203,0.04046981042154208,0.10580708335876615,0.02425329301810834,0.15505232091852808,0.10512439721058517,0.026386023236217727,0.013208793367383037,0.05435582356616038,0.017009801096230754,0.0
