Theories,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf0,SU2nf4,SU5s1a1A2F8nf1,SU4a3A3nf1,SU6s1a1A2F8nf1,SU3nf6,Sp2adj1nf1,SO5adj1nf2,SU2adj1nf2,Sp2s1a2nf0,Sp3a3nf1,SU6adj1s1A1F8nf1,SU6s2S2nf1,SU5adj1a2A2nf1,SU7a2A2nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
SU9s2A2F16nf0,0.0,0.020086617988656578,0.002499999999999991,0.0,0.0,0.0,0.010436314802968853,0.03056186803482042,0.0,0.0,0.0,0.0,0.0,0.021715329966536443,0.0035000000000000027,0.0,0.004166666666666674,0.0,0.1115184339520203,0.04621688003316537,0.0,0.006315765107165469,0.0,0.027938921477632838,0.0,0.0
SU10s2A2F16nf1,0.020086617988656578,0.0,0.00664371047599825,0.03101299010988066,0.0011666666666666624,0.013043729868748775,0.021457969252574774,0.03098207366992869,0.0,0.0,0.004166666666666673,0.0,0.0,0.02843901857972208,0.008852181149926336,0.004085883557377098,0.015478479684172262,0.004422166387140532,0.05968644923449729,0.024855694630316724,0.006011562932290471,0.01572418519351638,0.0016329931618554463,0.06443364373093023,0.0,0.00994568583189046
SU5s1a1A2F8nf0,0.002499999999999991,0.00664371047599825,0.0,0.002260776661041748,0.017587874611030556,0.006922186552431746,0.03964985638197332,0.01145643923738961,0.007073031724640997,0.007637626158259747,0.007881060278357945,0.00744610263456291,0.008348319857578815,0.03680617399899703,0.008989191040107885,0.030684777260973482,0.008698658900466609,0.00819213715162969,0.040734915408447016,0.0901363165186794,0.01855921454276674,0.021937410968480307,0.008498365855987991,0.04706496691926077,0.009574271077563394,0.011696390706348505
SU2nf4,0.0,0.03101299010988066,0.002260776661041748,0.0,0.003609401304617949,0.0,0.01259298746657574,0.031541859312489644,0.0,0.0,0.016499158227686113,0.0,0.0,0.02367664109060517,0.002260776661041748,0.0038586123009300786,0.006064468466220088,0.024639624816768436,0.07121973041229515,0.08914236428943935,0.005500000000000003,0.03303869784897032,0.021835241646883087,0.06424691951110705,0.001979057014506312,0.01097471842210289
SU5s1a1A2F8nf1,0.0,0.0011666666666666624,0.017587874611030556,0.003609401304617949,0.0,0.00951022841179141,0.09669597256923948,0.011566234381931656,0.007965202096899023,0.00793025150224689,0.008137703743822479,0.007965202096899023,0.007783529619223758,0.050504400248339194,0.010172129679778092,0.013169830843425608,0.015797327481430385,0.007993052538854545,0.025584283369982353,0.02751968992073373,0.015969589154946284,0.019908819932660783,0.007783529619223758,0.10229369482035539,0.008112062349091982,0.0741284545756741
SU4a3A3nf1,0.0,0.013043729868748775,0.006922186552431746,0.0,0.00951022841179141,0.0,0.01885691738681944,0.011116804097101531,0.014996295838935992,0.025835483781462693,0.0188826787176914,0.028821288428289713,0.09136450198092377,0.040078048854703494,0.029240858020546823,0.04776795764712761,0.04273594635796791,0.030652623596249196,0.03828584014430864,0.09310403380687171,0.04667410654980148,0.03806755690727852,0.03389690251335658,0.0291018327028843,0.03312811830186288,0.06432901539913558
SU6s1a1A2F8nf1,0.010436314802968853,0.021457969252574774,0.03964985638197332,0.01259298746657574,0.09669597256923948,0.01885691738681944,0.0,0.02817406214548724,0.010873004286866737,0.014229273425660993,0.01224858268444875,0.012606215398233795,0.022657473625960833,0.041878130065438425,0.027235597621087328,0.07755356571786726,0.03264965543462901,0.017295632075437103,0.04524900244449841,0.05592057860136205,0.06559153908851355,0.037022515671772845,0.021302060411560603,0.10063686092967018,0.023247461032216928,0.08231730613236131
SU3nf6,0.03056186803482042,0.03098207366992869,0.01145643923738961,0.031541859312489644,0.011566234381931656,0.011116804097101531,0.02817406214548724,0.0,0.008545629162196188,0.010232030318780564,0.025137952714305647,0.009854496999396332,0.015059142664102026,0.0614240723712346,0.018024674446127698,0.06631658079914018,0.07333636357375667,0.12587747570113125,0.06051285446544028,0.033641905085440356,0.06274396828027022,0.14026760139105537,0.16147548833594938,0.11873172373979173,0.04389665894651513,0.12449464513249824
Sp2adj1nf1,0.0,0.0,0.007073031724640997,0.0,0.007965202096899023,0.014996295838935992,0.010873004286866737,0.008545629162196188,0.0,0.052509522945842886,0.07151845138765861,0.06042097685774738,0.027938424357067015,0.028990419873545194,0.06961581078398146,0.0842695740532199,0.031397540597243534,0.09223174314976619,0.030065206912088034,0.012251983966326076,0.03942080668885405,0.06354001363970056,0.08982328329682802,0.02267156809750926,0.06413960468297954,0.07174433775567239
SO5adj1nf2,0.0,0.0,0.007637626158259747,0.0,0.00793025150224689,0.025835483781462693,0.014229273425660993,0.010232030318780564,0.052509522945842886,0.0,0.05846271366340164,0.02354428451521374,0.06367539207225625,0.031180478223116176,0.07976162402224936,0.09899551056038405,0.016770509831248424,0.08209090489613734,0.030579586509812566,0.015871882896073386,0.03966666666666667,0.06881052891010858,0.06906619208331156,0.029825417944356707,0.04998027388658227,0.07112684287790214
