Score,1,2,3,4,5,6,7,8,9,10
R2 of a,0.8913917541503906,0.9210930466651917,0.8983316421508789,0.9071993827819824,0.9053992033004761,0.889822781085968,0.9117032289505005,0.9163848161697388,0.8988431692123413,0.9057560563087463
R2 of c,0.8946595191955566,0.923083484172821,0.899727463722229,0.9070879220962524,0.9060534834861755,0.8905331492424011,0.9128279685974121,0.9177715182304382,0.9000300168991089,0.9047551155090332
RMSE of a,0.8592440485954285,0.7328974008560181,0.8307528495788574,0.7943050265312195,0.8030025362968445,0.864948034286499,0.7736173272132874,0.7531940340995789,0.8282758593559265,0.8008593916893005
RMSE of c,0.8982468247413635,0.7688890099525452,0.8736491799354553,0.844788134098053,0.845958411693573,0.9155736565589905,0.8160842061042786,0.7949733734130859,0.872461199760437,0.8586113452911377
Error of a (%),12.580320239067078,11.590805649757385,12.830798327922821,12.92838305234909,12.44998350739479,13.547046482563019,11.91772148013115,11.787447333335876,13.531748950481415,13.136467337608337
Error of c (%),11.61283329129219,10.888984054327011,11.786947399377823,12.272656708955765,11.659051477909088,12.718769907951355,11.28012165427208,11.075006425380707,12.503747642040253,12.209119647741318
Reconstruction correlation,0.8574336767196655,0.8619952201843262,0.8590884804725647,0.8604550957679749,0.8572498559951782,0.854552149772644,0.8633711934089661,0.8530723452568054,0.852016270160675,0.8546054363250732
Reconstruction RMSE,18.07137680053711,28.46929931640625,24.570819854736328,17.978883743286133,20.32204818725586,22.74568748474121,18.20961570739746,17.732891082763672,23.2995548248291,28.87029266357422
