Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU3adj1nf3,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,SU4adj1a2A2nf1,SU4s1S1a2A2nf1,SO5nf5,SU2adj2nf1,Sp4s1a1nf1,SU5s1S1a2A2nf1
SU2nf4,0.0,0.0,0.00870025542409214,0.0075000000000000075,0.0,0.0,0.020682789409984775,0.0033333333333333214,0.005000000000000016,0.0,0.0,0.0033333333333333214,0.02940379794062891,0.0,0.0,0.04444878451031529,0.002499999999999991,0.0,0.010573814617041275,0.0,0.0033333333333333214,0.005000000000000016,0.023702437755546476,0.0,0.0,0.0,0.0,0.004082482904638616,0.01674979270186814,0.0,0.0,0.0,0.002499999999999991,0.0,0.0,0.0,0.0,0.005000000000000016,0.0,0.0,0.0,0.0
SU2adj1nf2,0.0,0.0,0.020480342879074184,0.046703854230673504,0.044573597067721134,0.005527707983925671,0.024209731743889924,0.016435902436096696,0.07382881852260975,0.0,0.10709549217611564,0.025563102750296603,0.02148966159704605,0.0,0.034166666666666665,0.023629078131263054,0.0076829537144107425,0.05413460589637238,0.050723925978444,0.04413520892288453,0.0033333333333333214,0.05555277770832983,0.005000000000000016,0.03157882553582736,0.04297932319409209,0.02211083193570267,0.07240415120081936,0.02422406975624771,0.04515405728048021,0.06333333333333335,0.06823672031978091,0.04169998667732268,0.02640496586292478,0.05126862805090674,0.04643543905251677,0.01929306150465037,0.0720532210707243,0.03227486121839516,0.045000000000000026,0.07033649282003065,0.07835549331944336,0.011211353372561404
SU6s1a1A2F8nf1,0.00870025542409214,0.020480342879074184,0.0,0.030743111242827845,0.03723051317281445,0.03594942435020498,0.0660439668369152,0.03210226714043036,0.0189296944860009,0.0,0.03711842908553347,0.034920544732928285,0.06823672031978088,0.0,0.02479079130107252,0.02357022603955158,0.0,0.012936812246883367,0.035901098714230015,0.07307245262979294,0.0,0.02790111507130534,0.0,0.044534630719624616,0.030103986446980723,0.02962731472438529,0.03613247231446467,0.02022443516585266,0.03210226714043038,0.0670820393249937,0.025563102750296603,0.07939003575876369,0.13309614319480986,0.10949378470437895,0.03660031875999625,0.015811388300841885,0.04639803635691685,0.022499999999999964,0.030103986446980712,0.07091172133168269,0.034318767136623324,0.014166666666666656
SU6adj1s1A1F8nf1,0.0075000000000000075,0.046703854230673504,0.030743111242827845,0.0,0.021147629234082525,0.024494897427831758,0.021554195260629266,0.14211693151142202,0.03391164991562635,0.02549509756796393,0.03135814620371129,0.030287969742310426,0.0525,0.0,0.04082482904638629,0.02357022603955158,0.002499999999999991,0.06023103666530883,0.0214734978778752,0.03790521805181387,0.0,0.019790570145063198,0.002499999999999991,0.02386303510546058,0.02056493779875511,0.022189211592823905,0.030057814661452385,0.02849220166213125,0.021147629234082543,0.023629078131263054,0.020749832663314545,0.036742346141747664,0.046554925744878066,0.03232860790211803,0.020138409955990946,0.03424787098005752,0.022360679774997894,0.038873012632302015,0.03969501787938182,0.0698659430624106,0.019436506316151007,0.050833333333333335
SU3adj1nf2,0.0,0.044573597067721134,0.03723051317281445,0.021147629234082525,0.0,0.02187400791401114,0.11404494727957046,0.026153924710792014,0.047029836865074864,0.0,0.03436931771216879,0.11116804097101528,0.06519734998022882,0.0,0.06182412330330468,0.025013885033006063,0.002499999999999991,0.07958660551737193,0.06591239977761729,0.040901303972693426,0.01057381461704127,0.07705066875475876,0.00745355992499931,0.037351558051691616,0.044221663871405324,0.08266817874961187,0.04711098008367524,0.024381231397212967,0.07418071028089296,0.05112620550059323,0.05492419017761361,0.033911649915626334,0.08559027073473038,0.031896098681674416,0.09959640778885774,0.01929306150465037,0.10043308994328293,0.036902649709140894,0.06803287603961942,0.10622630454730964,0.054670731556189074,0.014166666666666656
SU5s1a1A2F8nf0,0.0,0.005527707983925671,0.03594942435020498,0.024494897427831758,0.02187400791401114,0.0,0.014648663192705793,0.023288647687470184,0.011666666666666662,0.0,0.07378647873726218,0.0709264094365107,0.037831864876053875,0.0,0.005527707983925673,0.024565671621639466,0.0,0.005527707983925673,0.029166666666666674,0.1370548349303219,0.0,0.017658016750347578,0.0,0.08563893844378138,0.010671873729054756,0.023407619841980226,0.048562674281111544,0.034044497026359165,0.021794494717703353,0.016351180725290494,0.006454972243679048,0.05107184482014854,0.007264831572567809,0.039272905559827265,0.027144162458170546,0.01835226295462103,0.031885210782848325,0.03445004434765732,0.007500000000000021,0.013667682889047293,0.010000000000000014,0.013667682889047256
SU3nf6,0.020682789409984775,0.024209731743889924,0.0660439668369152,0.021554195260629266,0.11404494727957046,0.014648663192705793,0.0,0.027499999999999983,0.1371738556236817,0.045061686115319265,0.04031990134467647,0.017873008824606025,0.07490735018081411,0.020682789409984775,0.016158932858054448,0.02583333333333335,0.002499999999999991,0.01624465724134828,0.05250000000000002,0.10725100362130778,0.002499999999999991,0.028087165910587845,0.0033333333333333214,0.0694272200861369,0.08103497187428811,0.09221050795748702,0.07312945143146272,0.05838688018534451,0.03179797338056486,0.15478479684172258,0.043051971176964965,0.0990265116016918,0.17248188310660337,0.08674675786448736,0.1143945414393148,0.049867881001257254,0.017179606773406908,0.032797781090257376,0.017795130420052197,0.09376388786023468,0.10280780342194089,0.014166666666666656
SU5s1a1A2F8nf1,0.0033333333333333214,0.016435902436096696,0.03210226714043036,0.14211693151142202,0.026153924710792014,0.023288647687470184,0.027499999999999983,0.0,0.025124689052802202,0.0,0.053593117302711754,0.037822685726367405,0.03763863263545404,0.0,0.019808107206674516,0.02357022603955158,0.002499999999999991,0.01615893285805444,0.024452334585202014,0.028577380332470398,0.002499999999999991,0.0190029237516523,0.0,0.025276251480171815,0.01643590243609665,0.017260262647673295,0.0281858908754796,0.08411714714874992,0.020412414523193142,0.02260776661041756,0.02473470346609305,0.0984215705806179,0.0286259400621961,0.061599062041921074,0.014999999999999982,0.020766559657295174,0.020899893673307416,0.02187400791401113,0.01589898669028244,0.020749832663314555,0.01827642683288442,0.014166666666666656
SU6s2S2nf1,0.005000000000000016,0.07382881852260975,0.0189296944860009,0.03391164991562635,0.047029836865074864,0.011666666666666662,0.1371738556236817,0.025124689052802202,0.0,0.02387758130315733,0.03583333333333333,0.09854496999396324,0.13536216852084879,0.008975274678557526,0.08652632868413843,0.025603819159562034,0.004082482904638616,0.05676462121975466,0.10391302452852896,0.034651038143819646,0.007264831572567792,0.10666666666666667,0.004166666666666652,0.045368858629387325,0.08490599376827161,0.05002777006601211,0.11308796969124915,0.035746017649212,0.13472193585307482,0.05807083796728115,0.05835713800003863,0.04346933785248324,0.09835098711587326,0.05983774357005414,0.06572248051043451,0.024565671621639473,0.10138280042602009,0.04123947677219542,0.11787764371961669,0.10187478698000905,0.032499999999999994,0.024734703466093046
SU10s2A2F16nf1,0.0,0.0,0.0,0.02549509756796393,0.0,0.0,0.045061686115319265,0.0,0.02387758130315733,0.0,0.030092450142112974,0.019999999999999997,0.024734703466093043,0.013667682889047265,0.0,0.0482254543207676,0.0,0.0,0.009718253158075512,0.010408329997330665,0.004166666666666652,0.0,0.005527707983925673,0.0,0.0,0.0,0.0,0.002499999999999991,0.002499999999999991,0.0065085413965888924,0.01600781059358214,0.016666666666666646,0.0,0.005335936864527385,0.007637626158259735,0.11216307572260825,0.0,0.009999999999999998,0.0,0.0038188130791298527,0.0,0.0
