Charge,x1,x2,x3,x4,bias
a,0.0023203392047435045,-0.011504136957228184,-0.023818809539079666,-0.04745818302035332,3.594191312789917
c,0.002659468911588192,-0.011694342829287052,-0.02570556476712227,-0.05036114901304245,3.9238007068634033
