Score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
R2,0.5658427240591581,0.524039621859678,0.530761983311671,0.5305512583435552,0.5386036186732353,0.5464351057433183,0.5616157236586573,0.5363627547751231,0.5344521925021357,0.5273904911118477,0.5143875674833602,0.5459582265282352,0.5361725417822967,0.5319824015646648,0.5413085441065514,0.5478556285355818,0.5556606093031555,0.5241097693457641,0.5289505274339676,0.5223783667248518
RMSE,1.7184187976095395,1.7973174314658447,1.7834753564085875,1.7860846180703434,1.7690650077344725,1.750792220430925,1.725649039790047,1.7731406622724353,1.7770988911421917,1.7879478582437467,1.8136913933322694,1.7529759998518788,1.7724975829390688,1.780597236609312,1.7609934113408965,1.7479404037938577,1.736556190368148,1.7949944164855465,1.7860355015795688,1.7991592947380908
Error,46.07%,48.85%,47.96%,47.86%,47.73%,46.11%,46.23%,47.34%,49.09%,47.72%,50.02%,46.65%,47.10%,46.76%,46.42%,45.89%,46.89%,47.30%,47.29%,46.26%
