Score,1,2,3,4,5,6,7,8,9,10
R2 of a,0.8854043483734131,0.887873649597168,0.8975293636322021,0.8642241954803467,0.8804597854614258,0.8853793740272522,0.8737471103668213,0.8626137971878052,0.891179084777832,0.8971304893493652
R2 of c,0.8869454860687256,0.8892380595207214,0.8968292474746704,0.8620526194572449,0.8854343891143799,0.890817403793335,0.8772807717323303,0.8655676245689392,0.8882487416267395,0.8981972932815552
RMSE of a,0.881996750831604,0.8730700016021729,0.8332756161689758,0.9602894186973572,0.9022096395492554,0.8819634914398193,0.9267209768295288,0.9672235250473022,0.860601544380188,0.8382881283760071
RMSE of c,0.9331469535827637,0.9227664470672607,0.8877768516540527,1.0242829322814941,0.9400917291641235,0.9175828099250793,0.9733663201332092,1.0159034729003906,0.9257475733757019,0.8856907486915588
Error of a (%),16.280004382133484,15.824584662914276,15.152302384376526,16.784104704856873,16.679441928863525,16.40876978635788,16.72191321849823,19.23092007637024,15.432725846767426,16.17284119129181
Error of c (%),14.814907312393188,14.272280037403107,13.79166692495346,15.332092344760895,15.296308696269989,14.788483083248138,15.376316010951996,17.35081672668457,14.339692890644073,14.720818400382996
Reconstruction correlation,0.7471038103103638,0.7516966462135315,0.7504828572273254,0.7487623691558838,0.7496594190597534,0.7514210343360901,0.7543529272079468,0.7387719750404358,0.7473205327987671,0.7521050572395325
Reconstruction RMSE,29.00490951538086,35.748260498046875,35.18072509765625,38.59372329711914,63.664817810058594,46.03889083862305,39.188385009765625,36.306976318359375,35.07501220703125,30.592479705810547
