Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,0.9983333333333334,0.9993333333333334,0.9755000000000001,0.8853333333333333,0.9993333333333334,0.9995,0.9998333333333334,0.9966666666666666,0.9923333333333335,0.9996666666666667
SU2adj1nf2,0.9983333333333334,0.0,0.6121666666666667,0.8316666666666669,0.9415,0.9031666666666667,0.5831666666666667,0.8363333333333334,0.9155,0.9175000000000001,0.6795000000000002
SU3adj1nf2,0.9993333333333334,0.6121666666666667,0.0,0.6475,0.7715000000000001,0.7558333333333335,0.5708333333333333,0.6075,0.67,0.9044999999999999,0.6078333333333333
SU3adj1nf3,0.9755000000000001,0.8316666666666669,0.6475,0.0,0.5980000000000001,0.6396666666666666,0.7736666666666666,0.5635,0.5771666666666667,0.8939999999999999,0.8085000000000001
SU3nf6,0.8853333333333333,0.9415,0.7715000000000001,0.5980000000000001,0.0,0.6336666666666667,0.9288333333333334,0.6626666666666666,0.7001666666666666,0.9276666666666668,0.9681666666666667
SU3adj1nf4,0.9993333333333334,0.9031666666666667,0.7558333333333335,0.6396666666666666,0.6336666666666667,0.0,0.8431666666666667,0.6165,0.6098333333333333,0.9224999999999999,0.8905
SU5adj1nf2,0.9995,0.5831666666666667,0.5708333333333333,0.7736666666666666,0.9288333333333334,0.8431666666666667,0.0,0.7641666666666667,0.9288333333333334,0.9306666666666666,0.7876666666666665
SU5adj1nf4,0.9998333333333334,0.8363333333333334,0.6075,0.5635,0.6626666666666666,0.6165,0.7641666666666667,0.0,0.6535,0.9171666666666667,0.8564999999999999
SU3nf5,0.9966666666666666,0.9155,0.67,0.5771666666666667,0.7001666666666666,0.6098333333333333,0.9288333333333334,0.6535,0.0,0.8246666666666667,0.7801666666666667
SU2nf5,0.9923333333333335,0.9175000000000001,0.9044999999999999,0.8939999999999999,0.9276666666666668,0.9224999999999999,0.9306666666666666,0.9171666666666667,0.8246666666666667,0.0,0.8635
SO5nf5,0.9996666666666667,0.6795000000000002,0.6078333333333333,0.8085000000000001,0.9681666666666667,0.8905,0.7876666666666665,0.8564999999999999,0.7801666666666667,0.8635,0.0
