Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,0.007453559924999305,0.002808716591058789,0.020710303393882638,0.02731300056749533,0.002260776661041748,0.001979057014506312,0.0011666666666666626,0.004082482904638616,0.008306623862918085,0.0016329931618554463
SU2adj1nf2,0.007453559924999305,0.0,0.0515646842971686,0.059884147410738935,0.05401877245715398,0.03597414194791711,0.039982287745117,0.04322936244935585,0.05624870368876662,0.02274557343992697,0.06662936456414861
SU3adj1nf2,0.002808716591058789,0.0515646842971686,0.0,0.0715163151548885,0.12619528517341683,0.07668930825088983,0.04676329282199401,0.07824906815206599,0.11449162997063732,0.023286262044390035,0.07407597451265828
SU3adj1nf3,0.020710303393882638,0.059884147410738935,0.0715163151548885,0.0,0.0653741369180334,0.07066273573972509,0.05855576639219895,0.04618471368080328,0.04600150963706397,0.023395156193822115,0.0977878940473831
SU3nf6,0.02731300056749533,0.05401877245715398,0.12619528517341683,0.0653741369180334,0.0,0.08809653795694812,0.05967993334819036,0.09694270931271154,0.10195982324207685,0.020099751242241778,0.037516292756910596
SU3adj1nf4,0.002260776661041748,0.03597414194791711,0.07668930825088983,0.07066273573972509,0.08809653795694812,0.0,0.0415227514609628,0.06899053880384211,0.07527154545746723,0.01894802833483679,0.04734653571745714
SU5adj1nf2,0.001979057014506312,0.039982287745117,0.04676329282199401,0.05855576639219895,0.05967993334819036,0.0415227514609628,0.0,0.06489842490812513,0.04702865556705235,0.01829085989109193,0.09469600484356948
SU5adj1nf4,0.0011666666666666626,0.04322936244935585,0.07824906815206599,0.04618471368080328,0.09694270931271154,0.06899053880384211,0.06489842490812513,0.0,0.07606813466301847,0.026946964372427724,0.06267841201987598
SU3nf5,0.004082482904638616,0.05624870368876662,0.11449162997063732,0.04600150963706397,0.10195982324207685,0.07527154545746723,0.04702865556705235,0.07606813466301847,0.0,0.03004441157131665,0.14460568991417855
SU2nf5,0.008306623862918085,0.02274557343992697,0.023286262044390035,0.023395156193822115,0.020099751242241778,0.01894802833483679,0.01829085989109193,0.026946964372427724,0.03004441157131665,0.0,0.022229235004580995
SO5nf5,0.0016329931618554463,0.06662936456414861,0.07407597451265828,0.0977878940473831,0.037516292756910596,0.04734653571745714,0.09469600484356948,0.06267841201987598,0.14460568991417855,0.022229235004580995,0.0
