Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5,SU5adj1a2A2nf1,SU3nf5,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU2nf5,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,Sp5a3nf1,SU3adj2nf1,SU4s1S1a2A2nf1,SU4adj1a2A2nf1
SU2nf4,0.0,0.0,0.005826715823167511,0.01679579606425664,0.0,0.0020786985482077374,0.0,0.025283882046830252,0.004969039949999535,0.0,0.002499999999999992,0.04349329450233296,0.07024208579821611,0.017293758240303752,0.0,0.0,0.0,0.0,0.0014958791130929125,0.0014958791130929125,0.0014958791130929125,0.0014958791130929125,0.0014958791130929125,0.0,0.0,0.0014958791130929125,0.0014958791130929125,0.0,0.0014958791130929125,0.06284472831147582,0.0,0.0014958791130929125,0.0014958791130929125,0.0014958791130929125,0.0014958791130929125,0.0,0.0014958791130929125,0.0,0.0,0.0014958791130929125,0.0,0.02476587905631655,0.0,0.0,0.0,0.0014958791130929125
SU2adj1nf2,0.0,0.0,0.01755942292142123,0.029711836191601202,0.05640257086339238,0.006666666666666666,0.05059827255139433,0.025283882046830252,0.011303883305208786,0.018444528112260022,0.002499999999999992,0.07481252288385223,0.025178375985832575,0.08248129230466089,0.0,0.051313007038742364,0.05191472709057507,0.03678851806920734,0.01887254194607002,0.062001095171530116,0.05298278895949067,0.01872683754520353,0.055039968642325264,0.011918576640513863,0.017864372434237257,0.09748219210593173,0.023445497606676878,0.014390926496654024,0.04623227054240547,0.05680266903831671,0.00724888241705551,0.010471153791650417,0.016576143053150763,0.02140151142695358,0.003333333333333322,0.08395554746779563,0.06580988799583759,0.009797328938082455,0.02592278420117601,0.0222239582655218,0.01654819000956276,0.044510367775453995,0.024664414311581243,0.019382838916021668,0.015275252316519468,0.06783467557139597
SU6s1a1A2F8nf1,0.005826715823167511,0.01755942292142123,0.0,0.034556270089075525,0.020353739001913743,0.03253796453072118,0.021424933553637397,0.024198574083080213,0.03439961240091716,0.01690569339411438,0.009048054152723521,0.05025321683702583,0.06112121128655584,0.0524705972926449,0.0014958791130929125,0.021829869671542778,0.017471316881684865,0.05907204222675483,0.0184758768314621,0.019454362549881248,0.02169691620575389,0.02159711057491685,0.023420801664701493,0.01679579606425664,0.03711115269458747,0.022840361178524133,0.022933074933944773,0.010262751778839535,0.04209502037938384,0.051400899497341515,0.02506780927261883,0.01192828364087993,0.01964185503295965,0.021914536581462245,0.00547863414536557,0.01744479829789732,0.026527414191807368,0.01470124291377693,0.022831913986705026,0.022472548411312097,0.024901038701127736,0.025247234294198895,0.021309376015567406,0.020766559657295184,0.01596920261311645,0.028625940062196112
SU6adj1s1A1F8nf1,0.01679579606425664,0.029711836191601202,0.034556270089075525,0.0,0.026695586170519918,0.025585730977043235,0.03585916381665402,0.04480410034145767,0.045283741938477395,0.06931320933021584,0.0213437474581095,0.048339718607597726,0.05314201797141386,0.052648965614216135,0.03739181926769742,0.03308821915597121,0.06623762404786401,0.0927445050117609,0.04063158778494789,0.033505343225989484,0.02227251253933455,0.04291104781628337,0.06347754050172508,0.04373125700807344,0.02889556546779631,0.04240093756242708,0.0447179086946683,0.010352580640880132,0.06905222571751914,0.08349798548615957,0.02358495283014151,0.027950849718747374,0.04470496561476459,0.06578174256069069,0.015287875450907798,0.04505569256041644,0.04593087264279218,0.06784889256444959,0.08337452685559937,0.09335193267058445,0.027883133536288005,0.1301696423997129,0.024389141988056483,0.04933508505398517,0.09412076888658777,0.03150543750835073
SU3adj1nf2,0.0,0.05640257086339238,0.020353739001913743,0.026695586170519918,0.0,0.008258927081843625,0.07521830368917223,0.025525344461467,0.010918468892796422,0.03247030932489437,0.002499999999999992,0.08430223771615211,0.0354816941151906,0.05741338081228361,0.0,0.05440474743264486,0.05815050714724233,0.046234773936807076,0.042382735828357,0.05709600427090939,0.03951968567126459,0.03185252475602731,0.06967794078543628,0.0315849335077875,0.021162218838601,0.10055747389207603,0.03649475693782078,0.013278242669685691,0.08896220934395697,0.06127251412872106,0.013252067157640629,0.011114582790968084,0.058702535331286915,0.03474332691945461,0.003333333333333322,0.09433981132056603,0.05622924857279998,0.04399863213362014,0.03357436007314193,0.076306015652053,0.017069212773041346,0.046732757432917986,0.05831282708349112,0.04152661648320521,0.013858299648073802,0.09333043976996103
SU5s1a1A2F8nf0,0.0020786985482077374,0.006666666666666666,0.03253796453072118,0.025585730977043235,0.008258927081843625,0.0,0.013347793085259966,0.02591683041510734,0.017143637915788292,0.0076779305339362575,0.005527707983925673,0.04682924721861038,0.04701014468924452,0.05950217860935226,0.0029917582261858445,0.007682953714410751,0.03760684367715568,0.045779429581849385,0.006431020501550128,0.006508541396588882,0.009606453592105886,0.00852103425009888,0.010426846877290815,0.006340395672507409,0.016407710472913725,0.009738082301643391,0.007354556830485412,0.013391078659104393,0.028577380332470412,0.044186752944773734,0.012313422366278618,0.010776202634039337,0.008766518798921945,0.013899995559107562,0.005562495665139113,0.008958064164776168,0.009217033346131711,0.007677930533936257,0.0075000000000000075,0.00889322810754563,0.022607766610417565,0.024851410273716706,0.015012854574301846,0.006142595663193339,0.010526275178609127,0.023033791601808757
SU3adj1nf3,0.0,0.05059827255139433,0.021424933553637397,0.03585916381665402,0.07521830368917223,0.013347793085259966,0.0,0.025525344461467,0.01112499133027822,0.02523959264800121,0.002499999999999992,0.04339116511314882,0.06100748790310018,0.095250238974458,0.0,0.0404107002087074,0.06597383038975603,0.07724220364989179,0.028539554531202938,0.04322011562989771,0.043072577280448957,0.03786754041767104,0.046017307533064045,0.024765879056316543,0.02375933864482564,0.05325007969622507,0.029418227321941607,0.011506841765115542,0.09300745025248855,0.06805782309147582,0.023445497606676875,0.011801469881248883,0.03413955563945228,0.043818508970468885,0.0036851386559504304,0.025707579225388563,0.1053803370278287,0.022189211592823905,0.039877319584996566,0.04160736520745064,0.04052605471929277,0.03709035514044648,0.10133217591931602,0.0279453280178403,0.03824466395443493,0.0822564680934568
SU3nf6,0.025283882046830252,0.025283882046830252,0.024198574083080213,0.04480410034145767,0.025525344461467,0.02591683041510734,0.025525344461467,0.0,0.02530828439976246,0.025970365352516903,0.030993079673603287,0.09217242631524628,0.06640051037287123,0.034704439891001665,0.025970365352516903,0.025970365352516903,0.024901038701127753,0.025903429393055045,0.02572408200620051,0.026211391360189903,0.025525344461467,0.025970365352516903,0.026122928767797225,0.026299556396765844,0.025945098730745828,0.025525344461467,0.025970365352516903,0.006340395672507417,0.025320476757159947,0.12248834663643883,0.02546632974374762,0.04833333333333333,0.025970365352516903,0.02585124826844997,0.05462837412242158,0.025970365352516903,0.025434495871688,0.026299556396765844,0.02530828439976246,0.025970365352516903,0.026130312089153156,0.04321208107251124,0.02530828439976246,0.025970365352516903,0.02530828439976246,0.02576604138956719
SU5s1a1A2F8nf1,0.004969039949999535,0.011303883305208786,0.03439961240091716,0.045283741938477395,0.010918468892796422,0.017143637915788292,0.01112499133027822,0.02530828439976246,0.0,0.009765775461803867,0.0035572912430182533,0.0532609462463983,0.047587638450897446,0.059524867715461664,0.003298428357510538,0.010704360482220949,0.010526275178609129,0.011320935484619366,0.010573814617041275,0.011114582790968093,0.010914934835771398,0.012862041003100256,0.013031893450822122,0.010689934113829926,0.013690246144835135,0.010671873729054758,0.01064653772040934,0.014709113660970807,0.014043582955293933,0.03345348714961022,0.010352580640880132,0.013437096247164245,0.011928283640879942,0.012247448713915903,0.004267303193260336,0.01112499133027822,0.01207295211783374,0.01062840359428278,0.011320935484619352,0.012237994873283725,0.011918576640513856,0.03805048628037281,0.011114582790968093,0.011166528467912105,0.01177201116689839,0.011879669322412837
SU6s2S2nf1,0.0,0.018444528112260022,0.01690569339411438,0.06931320933021584,0.03247030932489437,0.0076779305339362575,0.02523959264800121,0.025970365352516903,0.009765775461803867,0.0,0.002499999999999992,0.09112677710844842,0.027058749526279402,0.034766638258572964,0.0,0.03393439567572321,0.03986861137335368,0.015468506435917616,0.005129495920172052,0.09243324251040669,0.029119008682760253,0.08434067088559409,0.06714010135438091,0.030423959044651266,0.011603665874558572,0.024507494444569757,0.013858299648073813,0.013877773329774221,0.015173889204164062,0.06605564900469982,0.006358623967922013,0.009525793444156798,0.0819816299808743,0.05690310152322949,0.003333333333333322,0.09724761573134891,0.03352261075899019,0.06478597241858938,0.021979578063553714,0.07811237552319442,0.012496913199113334,0.03458417000326617,0.0029917582261858445,0.09679907917121454,0.0545916377623922,0.04377622670687091
