Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5,SU5adj1a2A2nf1,SU3nf5,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU2nf5,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,Sp5a3nf1,SU3adj2nf1,SU4s1S1a2A2nf1,SU4adj1a2A2nf1
SU2nf4,0.0,1.0,0.9972222222222222,0.9838888888888889,1.0,0.9994444444444445,1.0,0.8847222222222223,0.9972222222222222,1.0,0.9991666666666668,0.9550000000000001,0.8211111111111111,0.9450000000000001,1.0,1.0,1.0,1.0,0.9997222222222223,0.9997222222222223,0.9997222222222223,0.9997222222222223,0.9997222222222223,1.0,1.0,0.9997222222222223,0.9997222222222223,1.0,0.9997222222222223,0.901388888888889,1.0,0.9997222222222223,0.9997222222222223,0.9997222222222223,0.9997222222222223,1.0,0.9997222222222223,1.0,1.0,0.9997222222222223,1.0,0.9802777777777778,1.0,1.0,1.0,0.9997222222222223
SU2adj1nf2,1.0,0.0,0.9783333333333334,0.8536111111111111,0.6358333333333335,0.9966666666666667,0.8583333333333335,0.8847222222222223,0.9883333333333335,0.9669444444444444,0.9991666666666668,0.8577777777777776,0.8811111111111111,0.8697222222222223,1.0,0.6155555555555556,0.8975000000000002,0.9472222222222223,0.9605555555555555,0.7222222222222224,0.7758333333333333,0.9708333333333334,0.7758333333333333,0.9852777777777779,0.9744444444444444,0.8633333333333334,0.9594444444444445,0.9844444444444445,0.9202777777777779,0.8911111111111113,0.9908333333333333,0.9769444444444445,0.9575,0.8561111111111109,0.9983333333333334,0.7836111111111109,0.9247222222222223,0.9872222222222223,0.9358333333333332,0.9463888888888887,0.9891666666666666,0.9272222222222222,0.99,0.9558333333333334,0.948333333333333,0.7855555555555555
SU6s1a1A2F8nf1,0.9972222222222222,0.9783333333333334,0.0,0.8061111111111111,0.9663888888888889,0.9047222222222222,0.9558333333333333,0.8802777777777779,0.8883333333333333,0.9844444444444445,0.9952777777777778,0.7580555555555554,0.856111111111111,0.8019444444444445,0.9997222222222223,0.9744444444444444,0.9577777777777777,0.8127777777777777,0.9822222222222222,0.9791666666666666,0.9480555555555557,0.9708333333333332,0.9586111111111111,0.9855555555555555,0.9169444444444446,0.9536111111111112,0.9716666666666666,0.9958333333333333,0.9124999999999999,0.8630555555555556,0.9294444444444445,0.9711111111111109,0.9777777777777777,0.9544444444444443,0.9969444444444444,0.9738888888888889,0.9416666666666667,0.9880555555555557,0.9616666666666667,0.9736111111111111,0.9355555555555556,0.8397222222222223,0.9236111111111109,0.9774999999999999,0.9736111111111111,0.9499999999999998
SU6adj1s1A1F8nf1,0.9838888888888889,0.8536111111111111,0.8061111111111111,0.0,0.843888888888889,0.8316666666666667,0.8291666666666668,0.8633333333333333,0.8672222222222222,0.8705555555555554,0.985,0.6122222222222223,0.8333333333333335,0.7211111111111111,0.9916666666666667,0.8580555555555556,0.7897222222222221,0.7311111111111112,0.9049999999999999,0.8780555555555555,0.8275,0.9155555555555558,0.6741666666666666,0.9486111111111112,0.8258333333333333,0.8277777777777778,0.9077777777777777,0.9891666666666669,0.7977777777777778,0.9061111111111111,0.8391666666666666,0.9291666666666668,0.903611111111111,0.5797222222222224,0.9863888888888891,0.8697222222222223,0.8186111111111113,0.9424999999999998,0.7219444444444444,0.7091666666666666,0.833888888888889,0.6227777777777777,0.8219444444444444,0.9211111111111111,0.5913888888888889,0.8316666666666667
SU3adj1nf2,1.0,0.6358333333333335,0.9663888888888889,0.843888888888889,0.0,0.992777777777778,0.7513888888888889,0.8844444444444445,0.9875000000000002,0.8711111111111111,0.9991666666666668,0.7986111111111109,0.8811111111111111,0.8666666666666667,1.0,0.5944444444444444,0.8900000000000001,0.9177777777777777,0.8916666666666667,0.7641666666666668,0.7258333333333332,0.8858333333333334,0.6769444444444445,0.9163888888888888,0.9705555555555557,0.7191666666666666,0.9202777777777776,0.9902777777777778,0.7719444444444444,0.9061111111111112,0.982777777777778,0.9769444444444445,0.8388888888888889,0.8155555555555555,0.9983333333333334,0.6566666666666666,0.8938888888888887,0.8975000000000001,0.9086111111111113,0.8313888888888888,0.9672222222222222,0.8955555555555555,0.9002777777777776,0.8780555555555557,0.9469444444444443,0.6719444444444443
SU5s1a1A2F8nf0,0.9994444444444445,0.9966666666666667,0.9047222222222222,0.8316666666666667,0.992777777777778,0.0,0.9886111111111112,0.8847222222222224,0.9663888888888887,0.9961111111111111,0.9966666666666666,0.7713888888888889,0.8674999999999999,0.8541666666666667,0.9994444444444445,0.9958333333333335,0.9219444444444445,0.9547222222222226,0.9977777777777778,0.9975,0.9922222222222224,0.9936111111111112,0.9913888888888889,0.9963888888888889,0.9774999999999999,0.9919444444444444,0.9963888888888889,0.9844444444444445,0.9266666666666669,0.8788888888888889,0.9875000000000002,0.9763888888888889,0.995,0.9877777777777779,0.996388888888889,0.9944444444444446,0.9908333333333333,0.9961111111111111,0.9941666666666668,0.9930555555555557,0.9816666666666668,0.8266666666666667,0.9880555555555557,0.9974999999999999,0.9894444444444446,0.9300000000000002
SU3adj1nf3,1.0,0.8583333333333335,0.9558333333333333,0.8291666666666668,0.7513888888888889,0.9886111111111112,0.0,0.8844444444444445,0.9877777777777779,0.9466666666666668,0.9991666666666668,0.7630555555555555,0.856111111111111,0.7047222222222224,1.0,0.8788888888888889,0.8608333333333333,0.767777777777778,0.9605555555555555,0.9136111111111112,0.551111111111111,0.9372222222222221,0.7650000000000001,0.9752777777777779,0.9505555555555557,0.5719444444444445,0.9355555555555556,0.995,0.7697222222222221,0.8886111111111112,0.9572222222222222,0.976388888888889,0.9375,0.801111111111111,0.9977777777777778,0.8958333333333335,0.7536111111111111,0.9674999999999999,0.8830555555555555,0.8977777777777778,0.9208333333333333,0.8475,0.6422222222222221,0.9480555555555555,0.9327777777777776,0.5997222222222222
SU3nf6,0.8847222222222223,0.8847222222222223,0.8802777777777779,0.8633333333333333,0.8844444444444445,0.8847222222222224,0.8844444444444445,0.0,0.8841666666666668,0.8852777777777779,0.886388888888889,0.8013888888888889,0.6325,0.8725,0.8852777777777779,0.8852777777777779,0.8827777777777778,0.8811111111111111,0.8855555555555557,0.8850000000000001,0.8844444444444445,0.8852777777777779,0.8850000000000001,0.8850000000000001,0.8733333333333335,0.8844444444444445,0.8852777777777779,0.9952777777777778,0.8830555555555556,0.8572222222222223,0.8763888888888889,0.88,0.8852777777777779,0.8841666666666668,0.9050000000000001,0.8852777777777779,0.8822222222222222,0.8850000000000001,0.8841666666666668,0.8852777777777779,0.8830555555555557,0.8944444444444444,0.8841666666666668,0.8852777777777779,0.8841666666666668,0.8850000000000001
SU5s1a1A2F8nf1,0.9972222222222222,0.9883333333333335,0.8883333333333333,0.8672222222222222,0.9875000000000002,0.9663888888888887,0.9877777777777779,0.8841666666666668,0.0,0.9883333333333335,0.9988888888888889,0.7711111111111112,0.8608333333333333,0.8805555555555556,0.9991666666666668,0.9875000000000002,0.9894444444444446,0.9880555555555557,0.9891666666666669,0.9880555555555558,0.9872222222222223,0.9844444444444445,0.9852777777777778,0.9880555555555558,0.986388888888889,0.9866666666666668,0.9886111111111113,0.9877777777777778,0.9800000000000002,0.8677777777777779,0.9891666666666669,0.975,0.9872222222222222,0.985,0.9977777777777779,0.9877777777777779,0.9863888888888891,0.985,0.981388888888889,0.9841666666666667,0.9852777777777779,0.8822222222222222,0.9880555555555558,0.9855555555555556,0.9838888888888889,0.986388888888889
SU6s2S2nf1,1.0,0.9669444444444444,0.9844444444444445,0.8705555555555554,0.8711111111111111,0.9961111111111111,0.9466666666666668,0.8852777777777779,0.9883333333333335,0.0,0.9991666666666668,0.8369444444444444,0.8858333333333334,0.9097222222222222,1.0,0.9261111111111112,0.9611111111111111,0.9797222222222223,0.996388888888889,0.8169444444444444,0.8808333333333334,0.7497222222222223,0.6036111111111109,0.9772222222222223,0.9902777777777778,0.9461111111111111,0.9919444444444444,0.9883333333333334,0.9622222222222221,0.9502777777777779,0.9961111111111111,0.9783333333333333,0.7461111111111113,0.7933333333333333,0.9983333333333334,0.6988888888888888,0.9761111111111112,0.6616666666666667,0.9408333333333333,0.8088888888888889,0.9927777777777779,0.8908333333333334,0.9994444444444445,0.7411111111111112,0.8211111111111111,0.9088888888888887
SU10s2A2F16nf1,0.9991666666666668,0.9991666666666668,0.9952777777777778,0.985,0.9991666666666668,0.9966666666666666,0.9991666666666668,0.886388888888889,0.9988888888888889,0.9991666666666668,0.0,0.8052777777777779,0.8830555555555556,0.9047222222222221,0.9536111111111112,0.9991666666666668,0.9963888888888889,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9969444444444444,0.9991666666666668,0.9572222222222223,0.9986111111111112,0.9794444444444445,0.9991666666666668,0.9991666666666668,1.0,0.9991666666666668,0.9966666666666666,0.9991666666666668,0.9980555555555557,0.9991666666666668,0.9952777777777778,0.9586111111111112,0.9991666666666668,0.9991666666666668,0.9958333333333333,0.9991666666666668
SU8s1S2a1f8nf1,0.9550000000000001,0.8577777777777776,0.7580555555555554,0.6122222222222223,0.7986111111111109,0.7713888888888889,0.7630555555555555,0.8013888888888889,0.7711111111111112,0.8369444444444444,0.8052777777777779,0.0,0.6697222222222223,0.6258333333333332,0.9663888888888889,0.8722222222222222,0.7005555555555554,0.6666666666666667,0.9297222222222223,0.9177777777777778,0.7602777777777778,0.8591666666666665,0.7152777777777778,0.953888888888889,0.7236111111111112,0.7641666666666667,0.9186111111111112,0.9916666666666668,0.7530555555555556,0.8483333333333333,0.7500000000000001,0.8883333333333334,0.9063888888888891,0.7080555555555555,0.8200000000000001,0.8524999999999999,0.6302777777777776,0.8049999999999999,0.7705555555555554,0.7719444444444444,0.7525,0.5969444444444444,0.7416666666666667,0.9227777777777778,0.7538888888888887,0.7691666666666667
Sp2adj1a2nf4,0.8211111111111111,0.8811111111111111,0.856111111111111,0.8333333333333335,0.8811111111111111,0.8674999999999999,0.856111111111111,0.6325,0.8608333333333333,0.8858333333333334,0.8830555555555556,0.6697222222222223,0.0,0.823611111111111,0.8925,0.8766666666666667,0.8616666666666667,0.8172222222222222,0.8897222222222223,0.8919444444444445,0.8652777777777777,0.8927777777777778,0.8852777777777778,0.888888888888889,0.7719444444444444,0.8705555555555554,0.8861111111111111,0.9841666666666666,0.8236111111111111,0.7899999999999999,0.7991666666666666,0.7733333333333333,0.8983333333333334,0.8819444444444444,0.9011111111111112,0.8805555555555556,0.8361111111111109,0.8994444444444444,0.8722222222222222,0.885,0.855,0.863611111111111,0.8427777777777778,0.8916666666666667,0.871388888888889,0.8769444444444444
SU5adj1s1A1F8nf0,0.9450000000000001,0.8697222222222223,0.8019444444444445,0.7211111111111111,0.8666666666666667,0.8541666666666667,0.7047222222222224,0.8725,0.8805555555555556,0.9097222222222222,0.9047222222222221,0.6258333333333332,0.823611111111111,0.0,0.9183333333333332,0.8794444444444445,0.7447222222222222,0.5541666666666667,0.9072222222222222,0.9027777777777778,0.7725000000000001,0.9019444444444444,0.8144444444444444,0.9027777777777778,0.6991666666666666,0.7766666666666666,0.8844444444444444,0.9997222222222223,0.7777777777777779,0.8936111111111111,0.6766666666666669,0.9413888888888889,0.895,0.8194444444444445,0.995,0.8819444444444444,0.635,0.9188888888888888,0.7369444444444445,0.8652777777777778,0.7191666666666666,0.7330555555555555,0.6783333333333333,0.9041666666666667,0.8644444444444445,0.7336111111111111
