Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,0.0,0.0011666666666666626,0.0011666666666666626,0.023702437755546493,0.0,0.0011666666666666626,0.0,0.05922555754627108,0.01096078869830493,0.0011666666666666626
SU2adj1nf2,0.0,0.0,0.0618465843842649,0.0660649932515953,0.023911875245947945,0.02855841965749038,0.047668123520860355,0.019367785395111938,0.055852235606305166,0.019808107206674516,0.036576024326812166
SU3adj1nf2,0.0011666666666666626,0.0618465843842649,0.0,0.0653369471789635,0.02381934321326076,0.04720198912946124,0.04769696007084728,0.017623374629546225,0.057692913102236586,0.025350871122442054,0.047821717521087284
SU3adj1nf3,0.0011666666666666626,0.0660649932515953,0.0653369471789635,0.0,0.023449709782615416,0.09826325186287428,0.039088219310796035,0.023262392157490788,0.05856240735792507,0.02721366078522573,0.08294392349319174
SU3nf6,0.023702437755546493,0.023911875245947945,0.02381934321326076,0.023449709782615416,0.0,0.023772065772900582,0.023594373152182803,0.025849994627121738,0.07356573024626797,0.06401475524352873,0.024338469777517063
SU3adj1nf4,0.0,0.02855841965749038,0.04720198912946124,0.09826325186287428,0.023772065772900582,0.0,0.08260162091495409,0.06252577246401857,0.07053052924482812,0.023288647687470194,0.14987856195378088
SU5adj1nf2,0.0011666666666666626,0.047668123520860355,0.04769696007084728,0.039088219310796035,0.023594373152182803,0.08260162091495409,0.0,0.027102685393804705,0.059581876439064936,0.02748737083745106,0.12421978729476056
SU5adj1nf4,0.0,0.019367785395111938,0.017623374629546225,0.023262392157490788,0.025849994627121738,0.06252577246401857,0.027102685393804705,0.0,0.09055707224360411,0.017400510848184253,0.029213771486140655
SU3nf5,0.05922555754627108,0.055852235606305166,0.057692913102236586,0.05856240735792507,0.07356573024626797,0.07053052924482812,0.059581876439064936,0.09055707224360411,0.0,0.03265816215826536,0.04570466788706233
SU2nf5,0.01096078869830493,0.019808107206674516,0.025350871122442054,0.02721366078522573,0.06401475524352873,0.023288647687470194,0.02748737083745106,0.017400510848184253,0.03265816215826536,0.0,0.028345585586158243
SO5nf5,0.0011666666666666626,0.036576024326812166,0.047821717521087284,0.08294392349319174,0.024338469777517063,0.14987856195378088,0.12421978729476056,0.029213771486140655,0.04570466788706233,0.028345585586158243,0.0
