Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,1.0,0.9998333333333334,0.9998333333333334,0.8758333333333332,1.0,0.9998333333333334,1.0,0.9363333333333336,0.9875,0.9998333333333334
SU2adj1nf2,1.0,0.0,0.6116666666666667,0.8375,0.8756666666666666,0.9528333333333333,0.7821666666666666,0.9773333333333334,0.9571666666666667,0.9708333333333333,0.8388333333333334
SU3adj1nf2,0.9998333333333334,0.6116666666666667,0.0,0.7561666666666668,0.8758333333333332,0.9298333333333332,0.7283333333333333,0.9728333333333333,0.9508333333333333,0.9679999999999999,0.8481666666666666
SU3adj1nf3,0.9998333333333334,0.8375,0.7561666666666668,0.0,0.8753333333333333,0.7726666666666668,0.556,0.9521666666666667,0.9343333333333333,0.9555,0.8265
SU3nf6,0.8758333333333332,0.8756666666666666,0.8758333333333332,0.8753333333333333,0.0,0.8723333333333333,0.8755,0.8646666666666667,0.9018333333333333,0.9123333333333333,0.8708333333333335
SU3adj1nf4,1.0,0.9528333333333333,0.9298333333333332,0.7726666666666668,0.8723333333333333,0.0,0.8351666666666666,0.6995000000000001,0.934,0.9674999999999998,0.8198333333333332
SU5adj1nf2,0.9998333333333334,0.7821666666666666,0.7283333333333333,0.556,0.8755,0.8351666666666666,0.0,0.9526666666666667,0.9366666666666668,0.9433333333333332,0.7866666666666667
SU5adj1nf4,1.0,0.9773333333333334,0.9728333333333333,0.9521666666666667,0.8646666666666667,0.6995000000000001,0.9526666666666667,0.0,0.9211666666666667,0.9733333333333334,0.9623333333333335
SU3nf5,0.9363333333333336,0.9571666666666667,0.9508333333333333,0.9343333333333333,0.9018333333333333,0.934,0.9366666666666668,0.9211666666666667,0.0,0.8836666666666666,0.9071666666666667
SU2nf5,0.9875,0.9708333333333333,0.9679999999999999,0.9555,0.9123333333333333,0.9674999999999998,0.9433333333333332,0.9733333333333334,0.8836666666666666,0.0,0.9275
SO5nf5,0.9998333333333334,0.8388333333333334,0.8481666666666666,0.8265,0.8708333333333335,0.8198333333333332,0.7866666666666667,0.9623333333333335,0.9071666666666667,0.9275,0.0
