SU2nf4,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1
SU2nf4,0.0,0.0,0.0,0.0,0.0,0.0
SU9s2A2F16nf0,0.0,0.0,0.968,1.0,0.9925555555555556,0.9976666666666667
SU10s2A2F16nf1,0.0,0.968,0.0,0.9986666666666667,0.9884444444444445,0.9955555555555557
Sp2s1a2nf0,0.0,1.0,0.9986666666666667,0.0,0.8198888888888888,0.8341111111111111
Sp2s1a2nf1,0.0,0.9925555555555556,0.9884444444444445,0.8198888888888888,0.0,0.808111111111111
Sp2s2a1nf1,0.0,0.9976666666666667,0.9955555555555557,0.8341111111111111,0.808111111111111,0.0

SU9s2A2F16nf0,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1
SU2nf4,0.0,0.0,0.968,1.0,0.9925555555555556,0.9976666666666667
SU9s2A2F16nf0,0.0,0.0,0.0,0.0,0.0,0.0
SU10s2A2F16nf1,0.968,0.0,0.0,0.9667777777777777,0.965,0.967111111111111
Sp2s1a2nf0,1.0,0.0,0.9667777777777777,0.0,0.8447777777777777,0.8267777777777777
Sp2s1a2nf1,0.9925555555555556,0.0,0.965,0.8447777777777777,0.0,0.8174444444444445
Sp2s2a1nf1,0.9976666666666667,0.0,0.967111111111111,0.8267777777777777,0.8174444444444445,0.0

SU10s2A2F16nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1
SU2nf4,0.0,0.968,0.0,0.9986666666666667,0.9884444444444445,0.9955555555555557
SU9s2A2F16nf0,0.968,0.0,0.0,0.9667777777777777,0.965,0.967111111111111
SU10s2A2F16nf1,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a2nf0,0.9986666666666667,0.9667777777777777,0.0,0.0,0.8522222222222221,0.8380000000000003
Sp2s1a2nf1,0.9884444444444445,0.965,0.0,0.8522222222222221,0.0,0.8164444444444443
Sp2s2a1nf1,0.9955555555555557,0.967111111111111,0.0,0.8380000000000003,0.8164444444444443,0.0

Sp2s1a2nf0,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1
SU2nf4,0.0,1.0,0.9986666666666667,0.0,0.8198888888888888,0.8341111111111111
SU9s2A2F16nf0,1.0,0.0,0.9667777777777777,0.0,0.8447777777777777,0.8267777777777777
SU10s2A2F16nf1,0.9986666666666667,0.9667777777777777,0.0,0.0,0.8522222222222221,0.8380000000000003
Sp2s1a2nf0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a2nf1,0.8198888888888888,0.8447777777777777,0.8522222222222221,0.0,0.0,0.6304444444444445
Sp2s2a1nf1,0.8341111111111111,0.8267777777777777,0.8380000000000003,0.0,0.6304444444444445,0.0

Sp2s1a2nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1
SU2nf4,0.0,0.9925555555555556,0.9884444444444445,0.8198888888888888,0.0,0.808111111111111
SU9s2A2F16nf0,0.9925555555555556,0.0,0.965,0.8447777777777777,0.0,0.8174444444444445
SU10s2A2F16nf1,0.9884444444444445,0.965,0.0,0.8522222222222221,0.0,0.8164444444444443
Sp2s1a2nf0,0.8198888888888888,0.8447777777777777,0.8522222222222221,0.0,0.0,0.6304444444444445
Sp2s1a2nf1,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s2a1nf1,0.808111111111111,0.8174444444444445,0.8164444444444443,0.6304444444444445,0.0,0.0

Sp2s2a1nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1
SU2nf4,0.0,0.9976666666666667,0.9955555555555557,0.8341111111111111,0.808111111111111,0.0
SU9s2A2F16nf0,0.9976666666666667,0.0,0.967111111111111,0.8267777777777777,0.8174444444444445,0.0
SU10s2A2F16nf1,0.9955555555555557,0.967111111111111,0.0,0.8380000000000003,0.8164444444444443,0.0
Sp2s1a2nf0,0.8341111111111111,0.8267777777777777,0.8380000000000003,0.0,0.6304444444444445,0.0
Sp2s1a2nf1,0.808111111111111,0.8174444444444445,0.8164444444444443,0.6304444444444445,0.0,0.0
Sp2s2a1nf1,0.0,0.0,0.0,0.0,0.0,0.0

