Score,1,2,3,4,5,6,7,8,9,10
R2 of a,0.8424574136734009,0.9150716662406921,0.923657238483429,0.9035887122154236,0.9201703071594238,0.9016507863998413,0.8954448103904724,0.8998886942863464,0.9115210771560669,0.9199502468109131
R2 of c,0.822303056716919,0.9170045256614685,0.9284603595733643,0.9128060936927795,0.9242963194847107,0.9066717624664307,0.9004966616630554,0.9067390561103821,0.9145727753639221,0.9244756102561951
RMSE of a,1.0356231927871704,0.7592968344688416,0.7194236516952515,0.8071748614311218,0.7360520958900452,0.8168961405754089,0.8440132141113281,0.8269861936569214,0.7740927338600159,0.7357298135757446
RMSE of c,1.1681644916534424,0.7959011793136597,0.7400947213172913,0.812076985836029,0.7614408135414124,0.845166802406311,0.8743317723274231,0.8491684198379517,0.8074814677238464,0.7613952159881592
Error of a (%),14.589297771453857,13.101339340209961,13.388420641422272,14.507158100605011,13.550826907157898,14.425250887870789,14.282099902629852,14.302076399326324,13.633356988430023,13.130037486553192
Error of c (%),12.96941190958023,11.53986006975174,11.900036036968231,12.997660040855408,12.220186740159988,12.728072702884674,12.788935005664825,12.854382395744324,11.976131796836853,11.710196733474731
Reconstruction correlation,0.8286486864089966,0.8193849325180054,0.8159139156341553,0.8149352669715881,0.8208192586898804,0.8185479044914246,0.817979097366333,0.8297156691551208,0.8194089531898499,0.8158382773399353
Reconstruction RMSE,26.872119903564453,24.21700096130371,27.235055923461914,34.18363571166992,20.737567901611328,19.875713348388672,27.17099380493164,33.34008026123047,26.541101455688477,23.966358184814453
