Sp2adj1a2nf4,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1a2A2nf1,0.0,0.0,0.1103453613226768,0.0647792071502295,0.09251099367435897,0.059052289028505685,0.11366514607432995,0.07120384578322289
SU3adj1nf3,0.0,0.1103453613226768,0.0,0.06033865333614724,0.05713790983874665,0.08292611615613467,0.1174647832698889,0.05651395544902009
Sp2s1a1nf2,0.0,0.0647792071502295,0.06033865333614724,0.0,0.06399739578034927,0.08306809641478075,0.12234841969747355,0.06914075819980892
SU3adj1nf2,0.0,0.09251099367435897,0.05713790983874665,0.06399739578034927,0.0,0.06609206074731791,0.11031990519159034,0.0803560748508294
SU4adj2a1A1nf1,0.0,0.059052289028505685,0.08292611615613467,0.08306809641478075,0.06609206074731791,0.0,0.1216668696091661,0.06798774399355617
SU8s1S2a1f8nf1,0.0,0.11366514607432995,0.1174647832698889,0.12234841969747355,0.11031990519159034,0.1216668696091661,0.0,0.09103824999945333
SU5adj1s1A1F8nf0,0.0,0.07120384578322289,0.05651395544902009,0.06914075819980892,0.0803560748508294,0.06798774399355617,0.09103824999945333,0.0

SU5adj1a2A2nf1,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.0,0.1103453613226768,0.0647792071502295,0.09251099367435897,0.059052289028505685,0.11366514607432995,0.07120384578322289
SU5adj1a2A2nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf3,0.1103453613226768,0.0,0.0,0.0708328758155159,0.07612732998319571,0.0948173032080871,0.09136313382443831,0.07313854601767966
Sp2s1a1nf2,0.0647792071502295,0.0,0.0708328758155159,0.0,0.06791279811749878,0.08374387760927383,0.06677297080128779,0.06222509913984037
SU3adj1nf2,0.09251099367435897,0.0,0.07612732998319571,0.06791279811749878,0.0,0.07528579293122939,0.06572680081731509,0.07434994001508619
SU4adj2a1A1nf1,0.059052289028505685,0.0,0.0948173032080871,0.08374387760927383,0.07528579293122939,0.0,0.06678840736254077,0.0625516083222782
SU8s1S2a1f8nf1,0.11366514607432995,0.0,0.09136313382443831,0.06677297080128779,0.06572680081731509,0.06678840736254077,0.0,0.048524526062905866
SU5adj1s1A1F8nf0,0.07120384578322289,0.0,0.07313854601767966,0.06222509913984037,0.07434994001508619,0.0625516083222782,0.048524526062905866,0.0

