Score,1,2,3,4,5,6,7,8,9,10
R2 of a,0.8746825456619263,0.8727563619613647,0.8880512118339539,0.8418838977813721,0.8530712723731995,0.8082464933395386,0.8691768050193787,0.8633092641830444,0.8264895677566528,0.8495651483535767
R2 of c,0.8824709057807922,0.8789252042770386,0.8888949155807495,0.8466108441352844,0.8624430894851685,0.8606948256492615,0.8775743842124939,0.8715342879295349,0.8285811543464661,0.8592482805252075
RMSE of a,0.9222546219825745,0.9285295605659485,0.8711008429527283,1.0357898473739624,0.9982780814170837,1.1401828527450562,0.940480649471283,0.9608727693557739,1.0883779525756836,1.0107191801071167
RMSE of c,0.9519019722938538,0.9630315899848938,0.9227966666221619,1.0869401693344116,1.0328896045684814,1.0320179462432861,0.9671117663383484,0.9885247945785522,1.1468079090118408,1.040854811668396
Error of a (%),16.286982595920563,16.938257217407227,15.603207051753998,16.372506320476532,16.47929549217224,17.149923741817474,17.51217544078827,16.030751168727875,17.418766021728516,17.695924639701843
Error of c (%),14.942164719104767,15.38926362991333,14.130707085132599,15.769758820533752,15.693672001361847,15.466994047164917,16.229481995105743,14.825835824012756,16.017411649227142,16.30554050207138
Reconstruction correlation,0.7885475754737854,0.7882857322692871,0.805340588092804,0.79052734375,0.7867213487625122,0.7936905026435852,0.7968457341194153,0.7821431756019592,0.7912099957466125,0.7883869409561157
Reconstruction RMSE,24.808189392089844,25.52427864074707,40.99523162841797,26.522396087646484,28.05401039123535,40.47271728515625,27.92639923095703,24.87407112121582,33.38846969604492,31.69605255126953
